                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.1109,0.52659,1.2824,0.91712,0.91047,0.96123,0.63599,1.2432,0.55584,1.5035,0.0078715,0.0078715,0.0078715
46,1.1032,0.52646,1.2859,0.91544,0.91519,0.96297,0.63711,1.2329,0.54453,1.5048,0.007822,0.007822,0.007822
47,1.0984,0.52549,1.2787,0.91347,0.88444,0.95754,0.61447,1.2918,0.56659,1.551,0.0077725,0.0077725,0.0077725
48,1.0845,0.51457,1.2641,0.92294,0.91011,0.9619,0.64814,1.207,0.52897,1.4904,0.007723,0.007723,0.007723
49,1.0565,0.49732,1.249,0.91285,0.91052,0.96649,0.64914,1.2162,0.54873,1.4984,0.0076735,0.0076735,0.0076735
50,1.0551,0.49963,1.2444,0.92759,0.91862,0.96972,0.65744,1.196,0.52485,1.4638,0.007624,0.007624,0.007624
51,1.0395,0.49565,1.2392,0.90916,0.92311,0.96431,0.65127,1.203,0.52099,1.4759,0.0075745,0.0075745,0.0075745
52,1.037,0.49359,1.2358,0.92363,0.91901,0.9653,0.66896,1.1727,0.51976,1.4515,0.007525,0.007525,0.007525
53,1.0267,0.48756,1.2324,0.91108,0.93061,0.96532,0.66285,1.1815,0.51085,1.4627,0.0074755,0.0074755,0.0074755
54,1.0255,0.48617,1.2188,0.92443,0.91996,0.96796,0.65746,1.1974,0.51702,1.479,0.007426,0.007426,0.007426
55,1.003,0.47743,1.2222,0.92422,0.9357,0.97005,0.67086,1.1484,0.49551,1.4419,0.0073765,0.0073765,0.0073765
56,1.0133,0.47446,1.2116,0.92882,0.93076,0.97076,0.67557,1.1582,0.50118,1.4433,0.007327,0.007327,0.007327
57,0.98691,0.46354,1.1988,0.91916,0.92029,0.96858,0.66782,1.1888,0.52736,1.4737,0.0072775,0.0072775,0.0072775
