               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.038191,            0.047516,                   0,             0.86658,             0.88894,             0.92611,             0.48756,            0.034861,            0.038586,                   0,           0.0081776,           0.0081776,           0.0081776
                  39,            0.037584,            0.047761,                   0,             0.88531,             0.88852,             0.92975,             0.50424,             0.03421,            0.037193,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,            0.038113,            0.047815,                   0,             0.89232,              0.8741,             0.92889,              0.4958,            0.034691,            0.037557,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,            0.037922,            0.047574,                   0,             0.88408,              0.8714,             0.93078,             0.50947,            0.033804,            0.037351,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,            0.037575,            0.046563,                   0,             0.89763,             0.86346,             0.92707,             0.49612,            0.034896,            0.038197,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,            0.037362,             0.04631,                   0,             0.87945,             0.85943,             0.91999,              0.4723,            0.036757,            0.037337,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,            0.036988,            0.047149,                   0,             0.89801,             0.85907,             0.92792,             0.49623,            0.034357,            0.036913,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,            0.037191,            0.046263,                   0,             0.89164,             0.85467,             0.91965,             0.49743,            0.034655,            0.038139,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,            0.036914,            0.046642,                   0,             0.88644,             0.89148,             0.94253,             0.52778,            0.033009,            0.036433,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,            0.036562,            0.045115,                   0,             0.88283,             0.88763,             0.93684,             0.51109,            0.033731,            0.037113,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,            0.036332,            0.046008,                   0,             0.89888,             0.88331,             0.93989,             0.51476,            0.033518,            0.036556,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,             0.03678,            0.047793,                   0,             0.88588,             0.88669,             0.94055,             0.51686,            0.033078,            0.037022,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,            0.036403,            0.047127,                   0,             0.91117,             0.87634,             0.94238,             0.52433,            0.033431,            0.036283,                   0,           0.0075866,           0.0075866,           0.0075866
                  51,            0.036412,            0.045678,                   0,               0.879,             0.88848,             0.94081,             0.52544,            0.033293,            0.037205,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,            0.036444,            0.044741,                   0,             0.90976,             0.88174,             0.94397,             0.53863,            0.032385,            0.035883,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,            0.036303,            0.046148,                   0,             0.90439,             0.88759,             0.94167,             0.52998,            0.033139,             0.03633,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,            0.036371,            0.045686,                   0,             0.87683,              0.8795,             0.92958,             0.49925,            0.034848,            0.037459,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,            0.035728,            0.046229,                   0,             0.87805,               0.875,             0.93039,             0.51416,            0.034035,            0.036991,                   0,           0.0073403,           0.0073403,           0.0073403
                  56,            0.035552,            0.046172,                   0,             0.88192,             0.88939,             0.94502,             0.53579,            0.032754,            0.036816,                   0,            0.007291,            0.007291,            0.007291
                  57,            0.035744,            0.045472,                   0,             0.90448,             0.88804,             0.95256,              0.5367,            0.032534,            0.036073,                   0,           0.0072418,           0.0072418,           0.0072418
                  58,            0.035611,            0.045337,                   0,             0.92045,             0.86646,             0.94544,             0.54261,            0.032257,            0.035395,                   0,           0.0071925,           0.0071925,           0.0071925
                  59,            0.035063,            0.044966,                   0,             0.89953,             0.83273,             0.91519,             0.48324,            0.036259,             0.03728,                   0,           0.0071433,           0.0071433,           0.0071433
                  60,             0.03544,            0.045233,                   0,             0.87858,              0.8915,             0.93179,             0.50203,            0.033864,            0.037708,                   0,            0.007094,            0.007094,            0.007094
                  61,            0.034858,            0.044603,                   0,             0.88735,             0.87835,             0.94236,             0.52141,            0.033401,            0.037239,                   0,           0.0070448,           0.0070448,           0.0070448
                  62,            0.035445,            0.045831,                   0,             0.89875,             0.88207,             0.94255,             0.53352,            0.033195,            0.036226,                   0,           0.0069955,           0.0069955,           0.0069955
                  63,             0.03515,            0.045281,                   0,              0.8945,             0.89388,             0.94801,             0.54224,            0.031957,            0.035266,                   0,           0.0069463,           0.0069463,           0.0069463
                  64,            0.034906,            0.044297,                   0,             0.90446,             0.88541,             0.95064,             0.53936,            0.032346,            0.035372,                   0,            0.006897,            0.006897,            0.006897
                  65,            0.034982,            0.045177,                   0,              0.8898,             0.87995,             0.93684,             0.52154,            0.033397,            0.036172,                   0,           0.0068478,           0.0068478,           0.0068478
                  66,            0.034527,            0.045214,                   0,             0.91144,             0.88391,             0.94732,             0.54717,            0.032449,            0.035262,                   0,           0.0067985,           0.0067985,           0.0067985
                  67,            0.034512,            0.044585,                   0,             0.89614,             0.90788,             0.95053,             0.54989,            0.031693,            0.035529,                   0,           0.0067493,           0.0067493,           0.0067493
                  68,            0.034787,            0.044755,                   0,             0.88632,             0.85117,             0.92103,             0.50359,            0.034533,            0.037035,                   0,              0.0067,              0.0067,              0.0067
                  69,            0.034672,            0.044351,                   0,             0.90241,             0.90645,             0.95786,             0.55566,            0.031607,            0.034625,                   0,           0.0066507,           0.0066507,           0.0066507
                  70,            0.034585,            0.044021,                   0,             0.90766,             0.88849,             0.95027,             0.54261,             0.03205,            0.035056,                   0,           0.0066015,           0.0066015,           0.0066015
                  71,            0.033986,            0.044013,                   0,             0.91598,             0.89211,              0.9547,             0.55845,            0.031502,            0.034606,                   0,           0.0065522,           0.0065522,           0.0065522
                  72,            0.034395,            0.044819,                   0,             0.88512,             0.92497,             0.95824,             0.56428,            0.031176,            0.034308,                   0,            0.006503,            0.006503,            0.006503
                  73,            0.034468,            0.043655,                   0,             0.90925,             0.89388,             0.95408,             0.54534,            0.032169,             0.03518,                   0,           0.0064537,           0.0064537,           0.0064537
                  74,            0.034081,            0.043813,                   0,              0.9114,             0.89273,             0.94852,             0.54145,            0.032291,            0.035491,                   0,           0.0064045,           0.0064045,           0.0064045
                  75,            0.034042,             0.04417,                   0,             0.89667,             0.91232,             0.95713,             0.55776,            0.031349,            0.034941,                   0,           0.0063552,           0.0063552,           0.0063552
                  76,            0.034011,            0.043876,                   0,             0.90248,             0.89043,             0.95114,             0.55481,            0.031768,            0.034628,                   0,            0.006306,            0.006306,            0.006306
                  77,            0.033771,            0.042579,                   0,             0.90761,             0.90962,             0.95697,             0.56721,            0.030655,            0.034538,                   0,           0.0062567,           0.0062567,           0.0062567
                  78,            0.033969,            0.043608,                   0,             0.92005,             0.89433,             0.95855,             0.56071,            0.031179,            0.034856,                   0,           0.0062075,           0.0062075,           0.0062075
                  79,            0.033388,             0.04243,                   0,             0.89318,             0.88714,             0.94206,             0.53373,            0.033104,            0.036052,                   0,           0.0061582,           0.0061582,           0.0061582
                  80,            0.033757,            0.042749,                   0,             0.92226,             0.89081,             0.95095,             0.55871,            0.031447,            0.034592,                   0,            0.006109,            0.006109,            0.006109
                  81,            0.033511,            0.043104,                   0,             0.90577,             0.90827,             0.95606,             0.56948,            0.031104,            0.034214,                   0,           0.0060597,           0.0060597,           0.0060597
                  82,             0.03334,            0.043157,                   0,             0.90701,             0.91412,             0.95914,             0.57286,             0.03092,            0.033743,                   0,           0.0060104,           0.0060104,           0.0060104
                  83,            0.033584,            0.043815,                   0,             0.91826,             0.88444,             0.95492,              0.5576,            0.031482,            0.034651,                   0,           0.0059612,           0.0059612,           0.0059612
                  84,            0.033021,            0.042848,                   0,              0.8936,             0.92986,             0.95856,             0.57222,            0.030424,            0.034296,                   0,           0.0059119,           0.0059119,           0.0059119
                  85,            0.033277,            0.041771,                   0,              0.9085,             0.92581,             0.96332,             0.57631,            0.030291,            0.033757,                   0,           0.0058627,           0.0058627,           0.0058627
                  86,             0.03317,            0.042631,                   0,             0.90966,             0.90872,             0.95604,             0.56508,            0.030847,            0.034354,                   0,           0.0058134,           0.0058134,           0.0058134
                  87,            0.033299,            0.042604,                   0,             0.90755,             0.90558,             0.95651,                0.57,            0.030801,            0.034396,                   0,           0.0057642,           0.0057642,           0.0057642
                  88,            0.032587,            0.042606,                   0,             0.91959,             0.90647,             0.96493,             0.57781,             0.03044,            0.033841,                   0,           0.0057149,           0.0057149,           0.0057149
                  89,            0.032982,            0.042087,                   0,              0.8847,             0.93795,             0.96395,             0.57141,              0.0307,            0.034671,                   0,           0.0056657,           0.0056657,           0.0056657
                  90,            0.033068,            0.042633,                   0,             0.89032,             0.92356,             0.95587,             0.56093,            0.031279,            0.034204,                   0,           0.0056164,           0.0056164,           0.0056164
                  91,            0.032809,             0.04147,                   0,             0.91577,             0.90924,             0.96326,             0.58096,            0.030339,            0.033768,                   0,           0.0055672,           0.0055672,           0.0055672
                  92,            0.032555,            0.040881,                   0,             0.89431,             0.89409,             0.95037,             0.54558,            0.032587,            0.035524,                   0,           0.0055179,           0.0055179,           0.0055179
                  93,            0.032488,             0.04243,                   0,              0.8936,             0.91763,             0.95335,             0.56177,            0.031279,            0.034589,                   0,           0.0054687,           0.0054687,           0.0054687
                  94,            0.032623,            0.041785,                   0,             0.91392,             0.91817,             0.96414,             0.58713,            0.029916,            0.033321,                   0,           0.0054194,           0.0054194,           0.0054194
                  95,            0.032508,            0.042457,                   0,             0.90419,             0.92508,             0.96399,             0.57836,            0.030258,            0.034211,                   0,           0.0053701,           0.0053701,           0.0053701
                  96,            0.032547,            0.041575,                   0,             0.92201,             0.90513,             0.95867,             0.57712,            0.030633,            0.033575,                   0,           0.0053209,           0.0053209,           0.0053209
                  97,             0.03262,            0.041454,                   0,             0.92206,             0.89895,             0.95775,             0.57129,            0.030614,            0.034243,                   0,           0.0052716,           0.0052716,           0.0052716
                  98,            0.032144,            0.041233,                   0,             0.92443,             0.90153,             0.96422,             0.57793,            0.030555,            0.033671,                   0,           0.0052224,           0.0052224,           0.0052224
                  99,             0.03243,            0.041687,                   0,             0.92115,             0.91052,             0.96044,             0.57826,            0.030411,            0.033669,                   0,           0.0051731,           0.0051731,           0.0051731
                 100,            0.032292,            0.042686,                   0,              0.9233,             0.91471,             0.96211,             0.59125,            0.029718,            0.033084,                   0,           0.0051239,           0.0051239,           0.0051239
                 101,            0.032259,            0.042149,                   0,             0.91649,             0.91787,             0.96438,             0.57832,            0.030466,            0.033345,                   0,           0.0050746,           0.0050746,           0.0050746
                 102,             0.03175,            0.040534,                   0,             0.92671,             0.91534,             0.96185,             0.59015,            0.029753,            0.033076,                   0,           0.0050254,           0.0050254,           0.0050254
                 103,            0.032034,            0.041692,                   0,             0.91284,             0.91592,             0.96217,             0.58688,            0.029929,            0.033391,                   0,           0.0049761,           0.0049761,           0.0049761
                 104,            0.031821,            0.041563,                   0,             0.91667,             0.91503,             0.96542,             0.58475,            0.030248,            0.033429,                   0,           0.0049269,           0.0049269,           0.0049269
                 105,            0.032163,            0.041215,                   0,             0.92632,             0.90603,             0.96204,             0.58565,            0.029998,            0.033758,                   0,           0.0048776,           0.0048776,           0.0048776
                 106,            0.032016,            0.041256,                   0,             0.91715,             0.92716,             0.96773,             0.59096,            0.029586,             0.03294,                   0,           0.0048284,           0.0048284,           0.0048284
                 107,            0.031765,            0.040935,                   0,             0.91839,             0.92266,             0.96744,             0.59245,            0.029713,            0.033076,                   0,           0.0047791,           0.0047791,           0.0047791
                 108,            0.031617,            0.040811,                   0,             0.92785,             0.92518,             0.96815,             0.58479,            0.030158,            0.033272,                   0,           0.0047299,           0.0047299,           0.0047299
                 109,            0.031952,            0.041642,                   0,             0.92758,             0.91232,             0.96499,             0.59639,            0.029553,            0.032848,                   0,           0.0046806,           0.0046806,           0.0046806
                 110,            0.031422,            0.041062,                   0,             0.93574,             0.90872,             0.96472,             0.58827,             0.03014,            0.033334,                   0,           0.0046313,           0.0046313,           0.0046313
                 111,            0.031784,            0.040347,                   0,             0.92443,             0.91457,             0.96354,             0.58911,            0.030019,            0.033116,                   0,           0.0045821,           0.0045821,           0.0045821
                 112,            0.031423,            0.042189,                   0,              0.9333,              0.9123,             0.96732,             0.59557,             0.02941,            0.032609,                   0,           0.0045328,           0.0045328,           0.0045328
                 113,            0.031765,            0.041089,                   0,             0.93219,             0.91547,             0.96582,             0.59391,            0.029424,            0.032685,                   0,           0.0044836,           0.0044836,           0.0044836
                 114,            0.031612,            0.040489,                   0,             0.92974,             0.91862,             0.96677,             0.59059,            0.029901,            0.033035,                   0,           0.0044343,           0.0044343,           0.0044343
                 115,            0.031488,            0.040676,                   0,             0.92803,             0.91727,             0.96667,             0.58891,            0.029984,            0.033115,                   0,           0.0043851,           0.0043851,           0.0043851
                 116,            0.031119,            0.040725,                   0,             0.92809,             0.92271,             0.96617,             0.59312,            0.029577,            0.032874,                   0,           0.0043358,           0.0043358,           0.0043358
                 117,            0.031157,            0.040976,                   0,              0.9184,             0.93114,             0.97289,             0.60022,             0.02912,            0.032745,                   0,           0.0042866,           0.0042866,           0.0042866
                 118,            0.030726,            0.040405,                   0,             0.90979,              0.9384,             0.97068,             0.60159,            0.029114,            0.032592,                   0,           0.0042373,           0.0042373,           0.0042373
                 119,            0.030894,            0.040329,                   0,             0.92344,             0.92716,             0.96833,             0.60148,             0.02929,            0.032568,                   0,           0.0041881,           0.0041881,           0.0041881
                 120,            0.031216,            0.041047,                   0,             0.93474,             0.91682,             0.96555,             0.59307,             0.02964,            0.032834,                   0,           0.0041388,           0.0041388,           0.0041388
                 121,            0.030977,             0.04076,                   0,             0.92112,             0.92937,             0.96802,             0.60497,            0.029141,            0.032345,                   0,           0.0040896,           0.0040896,           0.0040896
                 122,             0.03097,            0.040736,                   0,             0.92064,             0.91502,              0.9666,             0.59441,            0.029845,            0.032947,                   0,           0.0040403,           0.0040403,           0.0040403
                 123,            0.030872,            0.040043,                   0,             0.92896,             0.92356,             0.96682,             0.60275,            0.029015,            0.032449,                   0,            0.003991,            0.003991,            0.003991
                 124,            0.031007,            0.039993,                   0,             0.92013,             0.92761,             0.96917,             0.60287,            0.029294,            0.032537,                   0,           0.0039418,           0.0039418,           0.0039418
                 125,            0.030795,            0.040079,                   0,             0.93702,             0.91502,             0.96779,             0.60817,            0.028967,            0.032169,                   0,           0.0038925,           0.0038925,           0.0038925
                 126,            0.030782,            0.040172,                   0,             0.92512,             0.92626,             0.96801,             0.60045,            0.029154,            0.032605,                   0,           0.0038433,           0.0038433,           0.0038433
                 127,            0.030823,            0.040455,                   0,             0.92388,             0.93317,             0.97105,             0.59939,            0.029509,            0.032337,                   0,            0.003794,            0.003794,            0.003794
                 128,            0.030669,            0.039788,                   0,             0.93169,             0.92356,             0.97059,             0.60379,            0.029271,            0.032603,                   0,           0.0037448,           0.0037448,           0.0037448
                 129,            0.030436,            0.039678,                   0,             0.92671,             0.92446,             0.96782,             0.59758,            0.029544,             0.03281,                   0,           0.0036955,           0.0036955,           0.0036955
                 130,             0.03036,            0.038988,                   0,             0.92818,             0.92976,             0.96774,              0.6063,            0.028891,            0.032491,                   0,           0.0036463,           0.0036463,           0.0036463
                 131,            0.030451,            0.040091,                   0,             0.93062,             0.92886,             0.96998,             0.60823,            0.028995,            0.032413,                   0,            0.003597,            0.003597,            0.003597
                 132,            0.030309,            0.040288,                   0,             0.91774,             0.93525,             0.96694,             0.60158,            0.029314,            0.032645,                   0,           0.0035478,           0.0035478,           0.0035478
                 133,            0.030634,            0.039753,                   0,             0.92721,              0.9357,             0.97207,             0.60701,            0.028873,            0.032343,                   0,           0.0034985,           0.0034985,           0.0034985
                 134,            0.030001,            0.039875,                   0,             0.91955,              0.9348,             0.97021,             0.61103,            0.028804,            0.032296,                   0,           0.0034493,           0.0034493,           0.0034493
                 135,            0.030097,            0.039124,                   0,             0.93233,             0.92221,             0.97293,             0.61418,            0.028597,            0.032071,                   0,              0.0034,              0.0034,              0.0034
                 136,            0.030139,            0.040227,                   0,             0.92671,              0.9321,             0.97108,             0.60962,            0.028873,            0.032342,                   0,           0.0033507,           0.0033507,           0.0033507
                 137,            0.030013,            0.039498,                   0,             0.92439,             0.93454,              0.9708,             0.61045,            0.028853,            0.032043,                   0,           0.0033015,           0.0033015,           0.0033015
                 138,            0.029937,               0.039,                   0,             0.92464,             0.92688,             0.96982,             0.60931,            0.028956,            0.032304,                   0,           0.0032522,           0.0032522,           0.0032522
                 139,            0.030076,            0.039799,                   0,             0.91836,             0.93569,             0.97027,             0.60336,            0.029322,              0.0327,                   0,            0.003203,            0.003203,            0.003203
