                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,0.54184,0.57912,0.18835,0.79552,0.77844,0.83882,0.45027,0.46993,0.59346,0.19956,0.0015764,0.0015764,0.0015764
46,0.54328,0.58813,0.19409,0.82068,0.79431,0.86276,0.47119,0.4632,0.58109,0.19631,0.0015666,0.0015666,0.0015666
47,0.54344,0.58582,0.19146,0.81382,0.80261,0.8712,0.47683,0.45654,0.57916,0.19446,0.0015567,0.0015567,0.0015567
48,0.53473,0.566,0.19061,0.84191,0.80351,0.87768,0.4809,0.46897,0.55303,0.2047,0.0015469,0.0015469,0.0015469
49,0.53095,0.56509,0.18965,0.82768,0.81634,0.88526,0.4849,0.46524,0.54686,0.20194,0.001537,0.001537,0.001537
50,0.53407,0.56051,0.18541,0.85411,0.79047,0.87586,0.4763,0.46785,0.55101,0.20499,0.0015272,0.0015272,0.0015272
51,0.53617,0.5566,0.18947,0.8446,0.81378,0.88963,0.48859,0.45364,0.55391,0.19163,0.0015173,0.0015173,0.0015173
52,0.5241,0.56033,0.18538,0.84198,0.84892,0.90596,0.50231,0.45749,0.53132,0.19494,0.0015075,0.0015075,0.0015075
53,0.52186,0.557,0.18205,0.83751,0.83661,0.88605,0.4943,0.45612,0.54041,0.19451,0.0014976,0.0014976,0.0014976
54,0.5254,0.5607,0.18592,0.84213,0.83466,0.89324,0.49209,0.45939,0.5467,0.19692,0.0014878,0.0014878,0.0014878
55,0.53072,0.54806,0.18927,0.83296,0.84757,0.89628,0.49254,0.46196,0.54551,0.20123,0.0014779,0.0014779,0.0014779
56,0.53336,0.55245,0.19381,0.85517,0.83368,0.90023,0.49704,0.46419,0.52362,0.19819,0.0014681,0.0014681,0.0014681
57,0.5284,0.54941,0.19228,0.84812,0.83543,0.8948,0.49494,0.46064,0.53573,0.19664,0.0014582,0.0014582,0.0014582
58,0.52439,0.54168,0.1847,0.8297,0.78687,0.84909,0.42172,0.52286,0.55455,0.22391,0.0014484,0.0014484,0.0014484
59,0.53257,0.54511,0.19119,0.8533,0.82384,0.88714,0.47983,0.47772,0.53709,0.20239,0.0014385,0.0014385,0.0014385
