                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55259,                0.56444,                0.19635,                0.85242,                0.82329,                0.88162,                0.48386,                0.47626,                0.52984,                0.20575,              0.0016651,              0.0016651,              0.0016651
                     37,                 0.5465,                 0.5656,                0.19643,                 0.8255,                0.81205,                0.87361,                0.47908,                0.47475,                0.54111,                0.20264,              0.0016552,              0.0016552,              0.0016552
                     38,                0.54138,                0.58277,                0.19235,                0.81273,                0.82546,                 0.8646,                 0.4757,                0.47571,                0.54482,                0.20353,              0.0016454,              0.0016454,              0.0016454
                     39,                0.54128,                0.56419,                0.19579,                0.84118,                0.81924,                0.86963,                 0.4788,                0.47113,                0.53607,                0.20033,              0.0016355,              0.0016355,              0.0016355
                     40,                0.54005,                 0.5546,                0.19093,                0.85312,                0.83318,                 0.8942,                0.49648,                0.46805,                0.51766,                0.19901,              0.0016257,              0.0016257,              0.0016257
                     41,                0.53589,                0.57064,                0.19069,                0.83676,                0.83993,                0.88327,                0.48901,                0.46617,                0.54567,                0.19655,              0.0016158,              0.0016158,              0.0016158
                     42,                0.53511,                0.55106,                 0.1915,                0.82649,                0.85027,                0.87741,                0.47599,                0.48106,                0.53851,                0.20357,               0.001606,               0.001606,               0.001606
                     43,                0.53469,                 0.5575,                0.19083,                0.84936,                0.84166,                 0.8967,                0.49394,                0.46396,                0.52695,                0.19801,              0.0015961,              0.0015961,              0.0015961
                     44,                0.53562,                 0.5537,                0.18844,                0.83425,                0.84186,                0.88421,                0.48806,                0.47126,                0.51771,                0.20111,              0.0015863,              0.0015863,              0.0015863
                     45,                0.53646,                0.54367,                0.18766,                0.84568,                0.85791,                0.90155,                0.49708,                 0.4665,                0.51436,                0.19692,              0.0015764,              0.0015764,              0.0015764
                     46,                0.53756,                0.54286,                0.19336,                0.85978,                0.83265,                0.89086,                 0.4884,                0.47417,                0.51855,                0.20094,              0.0015666,              0.0015666,              0.0015666
                     47,                0.53676,                0.54616,                 0.1896,                0.85196,                 0.8436,                0.90242,                0.49097,                0.46531,                0.51967,                 0.1973,              0.0015567,              0.0015567,              0.0015567
                     48,                 0.5355,                0.54489,                0.19148,                 0.8479,                0.82968,                 0.8931,                0.49425,                0.46797,                0.51951,                0.19974,              0.0015469,              0.0015469,              0.0015469
                     49,                0.52708,                0.55124,                0.18646,                0.86098,                0.84099,                0.90106,                0.50111,                0.46678,                 0.5211,                0.19604,               0.001537,               0.001537,               0.001537
                     50,                0.52232,                0.54441,                0.18223,                 0.8586,                0.85458,                0.89943,                 0.5039,                0.46345,                0.51654,                 0.1987,              0.0015272,              0.0015272,              0.0015272
                     51,                0.52337,                0.53213,                0.18494,                0.85307,                0.85367,                0.90912,                0.51146,                0.45788,                0.50432,                0.19328,              0.0015173,              0.0015173,              0.0015173
                     52,                0.52643,                 0.5328,                0.18791,                0.83548,                0.87452,                0.90766,                0.49808,                0.46588,                0.50645,                0.19642,              0.0015075,              0.0015075,              0.0015075
                     53,                0.52082,                0.53977,                 0.1818,                0.85155,                0.85567,                0.90466,                0.50615,                0.45931,                0.51338,                0.19375,              0.0014976,              0.0014976,              0.0014976
                     54,                0.51882,                0.55138,                0.18402,                0.83207,                0.84353,                0.89044,                0.50134,                0.45768,                0.52876,                0.19526,              0.0014878,              0.0014878,              0.0014878
                     55,                0.51947,                0.53137,                0.18536,                0.85665,                 0.8625,                0.91053,                0.50543,                0.46365,                0.51044,                0.19513,              0.0014779,              0.0014779,              0.0014779
                     56,                0.52124,                0.53721,                0.18802,                0.85941,                0.87129,                0.91117,                0.51872,                0.45091,                0.50363,                0.18805,              0.0014681,              0.0014681,              0.0014681
                     57,                0.52202,                0.55092,                 0.1906,                0.85606,                0.85297,                0.90615,                0.51298,                0.45304,                0.52408,                0.18986,              0.0014582,              0.0014582,              0.0014582
                     58,                0.50594,                0.55656,                0.17724,                0.85255,                0.85273,                0.90408,                 0.5145,                0.44967,                0.52312,                0.19061,              0.0014484,              0.0014484,              0.0014484
                     59,                0.51331,                0.53813,                0.18196,                0.84133,                0.87455,                0.90818,                0.51362,                0.44824,                0.53082,                0.18795,              0.0014385,              0.0014385,              0.0014385
                     60,                0.51844,                0.52639,                0.18296,                0.86777,                0.86241,                0.90947,                0.51214,                0.45125,                0.50436,                0.18937,              0.0014287,              0.0014287,              0.0014287
                     61,                0.51344,                0.52577,                0.18158,                0.86412,                0.86556,                0.91407,                0.51792,                0.45172,                0.50429,                 0.1904,              0.0014188,              0.0014188,              0.0014188
                     62,                0.51347,                0.53612,                0.18118,                0.85059,                0.85881,                0.90019,                0.51099,                0.44904,                0.51582,                0.18976,               0.001409,               0.001409,               0.001409
                     63,                0.51899,                0.52793,                0.18248,                0.86289,                0.86871,                0.91591,                0.51559,                0.45091,                0.50007,                0.18875,              0.0013991,              0.0013991,              0.0013991
                     64,                0.50852,                0.52236,                 0.1799,                0.88731,                0.86743,                0.92179,                 0.5207,                0.44648,                0.50307,                0.18846,              0.0013893,              0.0013893,              0.0013893
                     65,                0.51173,                0.52278,                0.18182,                0.85707,                0.86466,                0.90799,                 0.5059,                0.45775,                0.51443,                0.19155,              0.0013794,              0.0013794,              0.0013794
                     66,                0.50231,                0.51981,                 0.1761,                0.86556,                0.86826,                 0.9201,                0.52285,                0.44469,                0.50296,                0.18729,              0.0013696,              0.0013696,              0.0013696
                     67,                0.50701,                0.52847,                0.17438,                0.85693,                0.86181,                0.91057,                0.51561,                0.44635,                0.53033,                0.18731,              0.0013597,              0.0013597,              0.0013597
                     68,                0.50687,                0.52505,                0.17725,                0.88129,                0.85117,                0.91203,                0.52153,                0.44389,                0.49664,                0.18601,              0.0013499,              0.0013499,              0.0013499
                     69,                0.50697,                0.52577,                 0.1772,                 0.8647,                0.87725,                0.92665,                0.52542,                 0.4465,                 0.5069,                0.18863,                0.00134,                0.00134,                0.00134
                     70,                0.50721,                0.51589,                0.17697,                0.88348,                0.86252,                0.92118,                0.52749,                0.44138,                0.50369,                0.18727,              0.0013301,              0.0013301,              0.0013301
                     71,                0.50554,                0.52355,                0.17726,                0.87097,                 0.8732,                 0.9182,                0.53116,                0.43603,                0.49694,                0.18352,              0.0013203,              0.0013203,              0.0013203
                     72,                0.49456,                0.51499,                0.17446,                0.87105,                0.87095,                0.91345,                0.51639,                0.44966,                0.49986,                0.19391,              0.0013104,              0.0013104,              0.0013104
                     73,                0.50602,                0.51021,                0.17686,                 0.8655,                0.86016,                0.91424,                0.52253,                0.44384,                0.50414,                0.18897,              0.0013006,              0.0013006,              0.0013006
                     74,                0.49461,                 0.5066,                0.17673,                0.88212,                0.85463,                0.91821,                0.52472,                0.44171,                0.50508,                0.18524,              0.0012907,              0.0012907,              0.0012907
                     75,                0.50254,                0.51022,                0.17602,                0.87102,                0.88059,                0.92445,                 0.5286,                0.44494,                0.49435,                0.19087,              0.0012809,              0.0012809,              0.0012809
                     76,                0.49655,                0.51121,                0.17529,                0.85724,                0.87275,                0.91734,                0.52528,                0.44194,                0.49503,                0.18578,               0.001271,               0.001271,               0.001271
                     77,                0.49837,                0.50617,                0.17708,                0.87298,                0.86915,                0.92304,                0.52019,                0.45332,                0.48775,                0.19213,              0.0012612,              0.0012612,              0.0012612
                     78,                 0.4929,                0.50478,                0.16974,                0.86698,                0.87916,                0.92164,                 0.5306,                0.43965,                0.49578,                0.18463,              0.0012513,              0.0012513,              0.0012513
                     79,                0.49408,                0.50839,                0.17153,                0.86645,                0.86781,                0.92074,                0.52396,                0.44282,                0.49794,                 0.1859,              0.0012415,              0.0012415,              0.0012415
                     80,                0.49399,                0.50291,                0.17366,                0.88005,                0.87185,                 0.9247,                0.53324,                0.43339,                 0.4896,                0.18228,              0.0012316,              0.0012316,              0.0012316
                     81,                0.48635,                0.51548,                 0.1682,                0.87352,                0.87905,                 0.9238,                0.52578,                0.44105,                0.49821,                0.18564,              0.0012218,              0.0012218,              0.0012218
                     82,                  0.485,                0.50933,                 0.1707,                0.88123,                0.86871,                0.92296,                0.53251,                0.43857,                0.49573,                0.18391,              0.0012119,              0.0012119,              0.0012119
                     83,                0.48682,                  0.501,                0.16435,                0.89033,                 0.8723,                0.92757,                0.54102,                0.42969,                0.49324,                0.17983,              0.0012021,              0.0012021,              0.0012021
                     84,                0.48945,                0.50356,                0.16987,                0.87679,                 0.8732,                 0.9277,                0.53429,                0.43571,                0.49746,                0.18453,              0.0011922,              0.0011922,              0.0011922
                     85,                0.48455,                0.50252,                0.17228,                0.88062,                0.87234,                0.92709,                0.53861,                0.42902,                0.49236,                0.18131,              0.0011824,              0.0011824,              0.0011824
                     86,                 0.4824,                0.50306,                0.17115,                 0.8864,                 0.8768,                0.93039,                 0.5466,                0.42605,                0.48013,                0.17937,              0.0011725,              0.0011725,              0.0011725
                     87,                0.47327,                0.49981,                0.16495,                0.88964,                0.87717,                0.93309,                0.54344,                 0.4267,                0.49501,                0.17988,              0.0011627,              0.0011627,              0.0011627
                     88,                0.47501,                0.49619,                0.16754,                0.87299,                 0.8741,                0.92892,                0.53897,                0.43118,                0.49686,                0.18173,              0.0011528,              0.0011528,              0.0011528
                     89,                0.47108,                0.48749,                0.16465,                0.88803,                0.88793,                0.93154,                0.54469,                0.42528,                0.48735,                0.17983,               0.001143,               0.001143,               0.001143
                     90,                0.48686,                0.49361,                0.16869,                 0.8835,                0.89681,                0.93706,                0.55208,                0.42098,                0.48305,                0.17761,              0.0011331,              0.0011331,              0.0011331
                     91,                0.48307,                0.48727,                0.16609,                0.88058,                0.88528,                0.93541,                0.54824,                0.42417,                0.48014,                0.17739,              0.0011233,              0.0011233,              0.0011233
                     92,                0.46714,                0.49407,                0.16435,                0.89176,                0.85946,                0.92571,                0.54469,                0.42377,                0.49116,                0.17726,              0.0011134,              0.0011134,              0.0011134
