                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.6407,0.55526,0.84518,0.06648,0.23357,0.03288,0.0067,1.2688,0.45862,0.79281,0.00066184,0.00066184,0.00066184
2,1.117,0.53785,0.44,0.44288,0.50315,0.43215,0.14734,0.72156,0.76806,0.32094,0.001322,0.001322,0.001322
3,0.88085,0.66603,0.32146,0.44303,0.50824,0.41298,0.14213,0.78587,0.69747,0.33366,0.0019755,0.0019755,0.0019755
4,0.79208,0.71758,0.2876,0.60109,0.58993,0.61011,0.26463,0.62944,0.82811,0.27743,0.0019704,0.0019704,0.0019704
5,0.7578,0.68813,0.272,0.61711,0.63939,0.65172,0.28641,0.58494,0.74783,0.23882,0.0019704,0.0019704,0.0019704
6,0.73562,0.64711,0.26632,0.65086,0.66889,0.6938,0.31937,0.57135,0.84735,0.23686,0.0019606,0.0019606,0.0019606
7,0.71202,0.65042,0.25619,0.62904,0.54822,0.57399,0.24772,0.6471,0.70962,0.2867,0.0019507,0.0019507,0.0019507
8,0.74548,0.60849,0.26347,0.15216,0.01304,0.00816,0.00355,1.9837,0.29177,1.0864,0.0019409,0.0019409,0.0019409
9,0.69567,0.62065,0.25095,0.66737,0.65108,0.681,0.3102,0.55592,0.7039,0.23861,0.001931,0.001931,0.001931
10,0.6825,0.61109,0.23869,0.70158,0.67851,0.71989,0.31245,0.61488,0.6132,0.25144,0.0019212,0.0019212,0.0019212
11,0.6646,0.61502,0.23642,0.73745,0.72977,0.76974,0.35379,0.57005,0.6042,0.23664,0.0019113,0.0019113,0.0019113
12,0.64675,0.58931,0.2293,0.74286,0.73201,0.77985,0.38644,0.54164,0.60766,0.22663,0.0019015,0.0019015,0.0019015
13,0.63244,0.57576,0.2223,0.77183,0.77573,0.82419,0.41871,0.51562,0.57101,0.22016,0.0018916,0.0018916,0.0018916
14,0.62039,0.5877,0.22021,0.76544,0.7762,0.80288,0.4049,0.52464,0.60528,0.2208,0.0018818,0.0018818,0.0018818
15,0.61713,0.57699,0.22019,0.75847,0.75674,0.80148,0.39885,0.52748,0.60346,0.22204,0.0018719,0.0018719,0.0018719
16,0.62887,0.58757,0.22281,0.77923,0.73323,0.80065,0.40253,0.53306,0.58792,0.22474,0.0018621,0.0018621,0.0018621
17,0.61613,0.57866,0.22286,0.75405,0.72926,0.77711,0.38031,0.54099,0.64081,0.23193,0.0018522,0.0018522,0.0018522
18,0.60013,0.57578,0.21616,0.77939,0.74775,0.79614,0.35822,0.58372,0.59702,0.24305,0.0018424,0.0018424,0.0018424
19,0.59392,0.56457,0.20888,0.76292,0.79406,0.81132,0.41439,0.51748,0.57284,0.21814,0.0018325,0.0018325,0.0018325
20,0.59146,0.58163,0.20936,0.78728,0.79451,0.84006,0.44104,0.49048,0.64238,0.21111,0.0018227,0.0018227,0.0018227
21,0.58525,0.5825,0.20285,0.78956,0.78103,0.84704,0.44663,0.49346,0.57434,0.2149,0.0018128,0.0018128,0.0018128
22,0.5761,0.56153,0.20452,0.77492,0.78953,0.83724,0.4285,0.51172,0.61423,0.21709,0.001803,0.001803,0.001803
23,0.58206,0.55818,0.20679,0.7889,0.79317,0.83844,0.44138,0.50132,0.58214,0.21612,0.0017931,0.0017931,0.0017931
24,0.57055,0.571,0.20058,0.81201,0.79991,0.86627,0.45097,0.50587,0.55312,0.21599,0.0017833,0.0017833,0.0017833
