                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5188,                0.83488,                 1.4841,                 1.5764,                0.90712,                  1.479,                0.82006,                0.79586,                0.86886,                0.49166,                 1.4462,                0.82917,                  1.529,                 1.4631,                0.81281,                 1.5211,              0.0017833,              0.0017833,              0.0017833
                     25,                 1.5071,                0.82934,                 1.4741,                  1.571,                 0.8862,                 1.4756,                 0.8631,                0.78642,                0.89525,                0.50144,                 1.4588,                0.76775,                 1.5338,                 1.4725,                0.75954,                 1.5251,              0.0017734,              0.0017734,              0.0017734
                     26,                 1.5145,                0.82673,                 1.4796,                 1.5799,                0.90399,                 1.4819,                0.81176,                0.82509,                0.88766,                 0.5017,                 1.4321,                0.78694,                 1.5086,                 1.4547,                0.78395,                 1.4966,              0.0017636,              0.0017636,              0.0017636
                     27,                 1.5063,                0.82605,                 1.4794,                 1.5566,                0.89025,                 1.4727,                0.80813,                0.77645,                0.86246,                 0.4722,                 1.5118,                 0.8501,                 1.5953,                 1.5239,                0.86271,                 1.5776,              0.0017537,              0.0017537,              0.0017537
                     28,                 1.4917,                0.80751,                 1.4706,                 1.5514,                0.85745,                  1.467,                0.84208,                0.79124,                0.88627,                 0.5097,                 1.4052,                0.78923,                 1.4948,                 1.4236,                0.78302,                  1.483,              0.0017439,              0.0017439,              0.0017439
                     29,                 1.4864,                0.80811,                 1.4667,                 1.5471,                0.85279,                 1.4677,                0.84576,                0.80261,                0.88843,                0.49443,                 1.4805,                0.80044,                 1.5511,                 1.5079,                0.78157,                 1.5307,               0.001734,               0.001734,               0.001734
                     30,                 1.4656,                0.79037,                 1.4522,                 1.5203,                0.84988,                 1.4444,                0.83906,                0.82283,                0.89731,                0.50405,                 1.4495,                0.77896,                 1.5234,                  1.478,                0.75779,                  1.508,              0.0017242,              0.0017242,              0.0017242
                     31,                 1.4582,                0.78819,                 1.4475,                 1.5164,                0.82623,                 1.4527,                0.86813,                0.79033,                0.89799,                0.50939,                 1.4279,                0.76346,                 1.5127,                 1.4612,                0.75336,                 1.5108,              0.0017143,              0.0017143,              0.0017143
                     32,                 1.4478,                0.78413,                 1.4396,                 1.5129,                0.82331,                 1.4497,                 0.8146,                0.81595,                0.88393,                0.49864,                 1.4302,                0.79271,                 1.5124,                 1.4635,                 0.7532,                  1.523,              0.0017045,              0.0017045,              0.0017045
                     33,                  1.441,                0.77684,                 1.4441,                 1.5041,                0.82241,                 1.4511,                0.82048,                0.85567,                0.90551,                0.52528,                 1.3814,                0.73403,                 1.4764,                 1.4182,                0.71511,                 1.4859,              0.0016946,              0.0016946,              0.0016946
                     34,                  1.444,                0.76855,                 1.4204,                 1.5076,                  0.794,                 1.4253,                0.83572,                0.86061,                0.90601,                0.52375,                 1.3861,                0.73574,                 1.4756,                 1.4142,                0.70991,                 1.4737,              0.0016848,              0.0016848,              0.0016848
                     35,                 1.4372,                0.75672,                 1.4208,                 1.4988,                0.78693,                 1.4255,                0.84884,                0.80171,                0.89536,                0.49867,                 1.5018,                0.76619,                 1.5716,                 1.5128,                0.75744,                 1.5585,              0.0016749,              0.0016749,              0.0016749
                     36,                 1.4132,                0.75447,                 1.4153,                 1.4756,                0.79155,                 1.4284,                0.83922,                0.85196,                 0.9123,                 0.5275,                 1.3778,                0.73027,                 1.4676,                 1.4095,                0.70422,                 1.4717,              0.0016651,              0.0016651,              0.0016651
                     37,                 1.4098,                0.74604,                 1.4132,                  1.479,                0.77581,                 1.4182,                0.84726,                0.84442,                0.91383,                0.53315,                 1.3786,                0.73837,                 1.4708,                 1.4216,                0.69869,                 1.4655,              0.0016552,              0.0016552,              0.0016552
                     38,                 1.4095,                0.73861,                 1.4057,                 1.4785,                0.76807,                 1.4126,                0.83081,                0.86109,                0.91772,                0.53721,                 1.3746,                0.71356,                 1.4652,                 1.3999,                0.67452,                 1.4604,              0.0016454,              0.0016454,              0.0016454
                     39,                 1.3956,                0.72763,                 1.3982,                 1.4595,                0.75407,                 1.4053,                0.86574,                0.84375,                0.92334,                0.54856,                   1.36,                  0.694,                 1.4646,                 1.3891,                0.65338,                 1.4716,              0.0016355,              0.0016355,              0.0016355
                     40,                 1.3861,                 0.7219,                 1.3923,                 1.4561,                0.74854,                 1.4043,                0.85327,                0.85239,                0.92299,                0.54324,                 1.3527,                0.68199,                  1.442,                 1.3808,                0.65242,                 1.4439,              0.0016257,              0.0016257,              0.0016257
                     41,                 1.3742,                0.71757,                 1.3858,                 1.4366,                0.74383,                 1.3929,                 0.8846,                0.83063,                0.92597,                0.55964,                 1.3301,                0.67728,                 1.4365,                 1.3654,                 0.6318,                 1.4404,              0.0016158,              0.0016158,              0.0016158
                     42,                 1.3815,                0.70538,                 1.3824,                 1.4468,                0.72332,                 1.3938,                0.86512,                0.86235,                0.92949,                0.55463,                 1.3371,                0.67204,                 1.4411,                  1.394,                0.61636,                 1.4646,               0.001606,               0.001606,               0.001606
                     43,                 1.3711,                0.70799,                   1.39,                 1.4384,                0.72586,                 1.4036,                  0.854,                0.87846,                0.93072,                0.55958,                 1.3312,                0.65383,                   1.43,                 1.3793,                0.60855,                 1.4436,              0.0015961,              0.0015961,              0.0015961
                     44,                 1.3512,                0.69167,                 1.3669,                 1.4182,                 0.7113,                 1.3805,                0.84378,                 0.8719,                0.93002,                0.57192,                 1.3063,                0.65026,                 1.4032,                 1.3455,                0.61409,                 1.4263,              0.0015863,              0.0015863,              0.0015863
                     45,                   1.35,                0.69738,                 1.3709,                 1.4108,                0.71519,                 1.3818,                0.85948,                0.86106,                0.92939,                0.56633,                 1.3123,                0.65433,                 1.4295,                 1.3437,                0.63365,                 1.4312,              0.0015764,              0.0015764,              0.0015764
                     46,                  1.344,                 0.6868,                 1.3557,                 1.4103,                0.70311,                 1.3657,                 0.8632,                0.87385,                0.93587,                0.56444,                 1.3139,                 0.6508,                 1.4198,                  1.352,                0.61298,                 1.4308,              0.0015666,              0.0015666,              0.0015666
                     47,                 1.3273,                 0.6722,                  1.347,                 1.3917,                0.68246,                 1.3612,                0.85117,                0.87185,                0.93323,                0.56891,                 1.3266,                0.65106,                 1.4217,                 1.3549,                0.59864,                 1.4371,              0.0015567,              0.0015567,              0.0015567
                     48,                  1.308,                0.67476,                  1.351,                 1.3734,                0.68842,                 1.3689,                0.86485,                0.86893,                0.93369,                 0.5755,                 1.2937,                0.63289,                 1.4114,                 1.3355,                0.58032,                 1.4276,              0.0015469,              0.0015469,              0.0015469
                     49,                 1.3183,                0.67075,                 1.3558,                 1.3831,                0.68165,                 1.3687,                 0.8807,                0.84622,                0.93613,                0.56303,                 1.3291,                 0.6456,                 1.4279,                 1.3664,                0.61445,                 1.4367,               0.001537,               0.001537,               0.001537
                     50,                 1.2976,                0.65912,                 1.3359,                 1.3634,                0.67186,                 1.3443,                 0.8552,                 0.8732,                 0.9351,                0.57119,                 1.3035,                 0.6489,                 1.4226,                  1.349,                0.59271,                 1.4318,              0.0015272,              0.0015272,              0.0015272
                     51,                 1.2931,                0.65312,                 1.3328,                 1.3576,                0.66844,                 1.3443,                0.87443,                0.87905,                0.94147,                0.58008,                 1.3039,                0.61506,                 1.4239,                 1.3295,                0.57177,                 1.4365,              0.0015173,              0.0015173,              0.0015173
