               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              1.9067,              1.0043,              1.8439,             0.86801,             0.87229,             0.92392,             0.54741,                   0,                   0,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,              1.8882,              1.0059,              1.8613,             0.86601,             0.85149,             0.92684,             0.54184,                   0,                   0,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,              1.9039,              1.0048,              1.8432,             0.88191,             0.86151,             0.92787,             0.54717,                   0,                   0,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,              1.8814,             0.99057,              1.8187,             0.88512,             0.87185,             0.93743,             0.56881,                   0,                   0,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,              1.8761,             0.97304,              1.8098,             0.88296,             0.86691,             0.92925,              0.5514,                   0,                   0,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,              1.8782,                0.97,              1.8127,             0.88536,              0.8473,             0.92803,              0.5471,                   0,                   0,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,              1.8816,             0.98137,              1.8277,             0.87217,             0.86203,             0.93005,             0.56004,                   0,                   0,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,              1.8524,             0.95364,              1.8169,             0.88724,             0.88624,             0.94106,             0.56941,                   0,                   0,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,              1.8426,             0.94973,              1.7949,             0.89021,             0.87136,             0.93756,             0.55581,                   0,                   0,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,              1.8421,             0.94407,              1.7778,             0.88357,             0.88624,             0.93902,             0.56413,                   0,                   0,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,              1.8369,             0.95463,              1.8029,             0.89688,             0.87597,             0.94839,              0.5831,                   0,                   0,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,              1.8186,             0.91863,              1.7774,             0.90032,             0.86915,             0.93881,              0.5697,                   0,                   0,                   0,           0.0075866,           0.0075866,           0.0075866
                  51,              1.8033,             0.92167,              1.7896,             0.88376,             0.88264,             0.94015,             0.55527,                   0,                   0,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,              1.7861,             0.91676,              1.7679,             0.87947,             0.86781,             0.93157,              0.5635,                   0,                   0,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,              1.7868,             0.91486,              1.7609,             0.88309,             0.88759,             0.94879,             0.57835,                   0,                   0,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,              1.7713,             0.90079,              1.7649,             0.87519,             0.87335,             0.93121,             0.56185,                   0,                   0,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,              1.7968,             0.89701,              1.7686,             0.91725,             0.85722,               0.943,             0.58949,                   0,                   0,                   0,           0.0073403,           0.0073403,           0.0073403
                  56,              1.7677,              0.8828,              1.7494,             0.90654,               0.881,             0.95037,             0.58602,                   0,                   0,                   0,            0.007291,            0.007291,            0.007291
                  57,              1.7836,             0.90092,               1.783,              0.8991,              0.9015,             0.95296,             0.58695,                   0,                   0,                   0,           0.0072418,           0.0072418,           0.0072418
                  58,              1.7547,             0.89307,              1.7398,             0.89466,             0.90124,             0.95093,              0.5903,                   0,                   0,                   0,           0.0071925,           0.0071925,           0.0071925
