               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
50,1.7711,0.9004,1.7408,0.89491,0.89596,0.9509,0.59168,0,0,0,0.0075866,0.0075866,0.0075866
51,1.7649,0.89333,1.762,0.90329,0.88759,0.94964,0.59617,0,0,0,0.0075373,0.0075373,0.0075373
52,1.7568,0.89578,1.7425,0.89358,0.89973,0.95223,0.59551,0,0,0,0.0074881,0.0074881,0.0074881
53,1.7556,0.89566,1.7294,0.87439,0.91394,0.94827,0.5892,0,0,0,0.0074388,0.0074388,0.0074388
54,1.7267,0.88676,1.7279,0.89746,0.88546,0.95084,0.59279,0,0,0,0.0073896,0.0073896,0.0073896
55,1.7506,0.87809,1.7348,0.89457,0.89209,0.95083,0.59441,0,0,0,0.0073403,0.0073403,0.0073403
56,1.7259,0.86626,1.7203,0.90186,0.90074,0.95013,0.60574,0,0,0,0.007291,0.007291,0.007291
57,1.7454,0.88597,1.7529,0.89157,0.89568,0.9446,0.58619,0,0,0,0.0072418,0.0072418,0.0072418
58,1.7129,0.87419,1.7102,0.90432,0.90942,0.95462,0.59941,0,0,0,0.0071925,0.0071925,0.0071925
59,1.7014,0.86788,1.7183,0.88531,0.89613,0.94865,0.5913,0,0,0,0.0071433,0.0071433,0.0071433
60,1.7208,0.86169,1.7082,0.90678,0.90243,0.95812,0.60757,0,0,0,0.007094,0.007094,0.007094
61,1.701,0.85314,1.7114,0.89717,0.91011,0.95497,0.60772,0,0,0,0.0070448,0.0070448,0.0070448
62,1.6882,0.84219,1.6961,0.90804,0.90423,0.95385,0.60451,0,0,0,0.0069955,0.0069955,0.0069955
63,1.6886,0.84212,1.7125,0.9004,0.90468,0.95615,0.61578,0,0,0,0.0069463,0.0069463,0.0069463
64,1.6757,0.83697,1.7021,0.90345,0.90879,0.9608,0.61608,0,0,0,0.006897,0.006897,0.006897
65,1.6814,0.83651,1.6759,0.90357,0.91003,0.95366,0.60752,0,0,0,0.0068478,0.0068478,0.0068478
66,1.6693,0.83541,1.6919,0.9228,0.90108,0.96178,0.62515,0,0,0,0.0067985,0.0067985,0.0067985
67,1.6502,0.82773,1.6764,0.90263,0.90029,0.94763,0.58623,0,0,0,0.0067493,0.0067493,0.0067493
68,1.6802,0.85326,1.7092,0.91239,0.90468,0.96028,0.61413,0,0,0,0.0067,0.0067,0.0067
69,1.6508,0.82443,1.6914,0.91096,0.91548,0.95931,0.62101,0,0,0,0.0066507,0.0066507,0.0066507
70,1.6454,0.81229,1.6592,0.91459,0.90198,0.96083,0.61997,0,0,0,0.0066015,0.0066015,0.0066015
71,1.6438,0.8122,1.6674,0.91042,0.91399,0.96046,0.62796,0,0,0,0.0065522,0.0065522,0.0065522
72,1.6343,0.81146,1.6572,0.93348,0.89597,0.96253,0.62415,0,0,0,0.006503,0.006503,0.006503
73,1.6187,0.80268,1.6605,0.91961,0.91412,0.96191,0.62844,0,0,0,0.0064537,0.0064537,0.0064537
74,1.6354,0.80655,1.6486,0.89855,0.92221,0.95982,0.62727,0,0,0,0.0064045,0.0064045,0.0064045
75,1.6224,0.80086,1.6646,0.91218,0.91539,0.95969,0.63033,0,0,0,0.0063552,0.0063552,0.0063552
76,1.6094,0.7968,1.651,0.91379,0.90962,0.96007,0.62701,0,0,0,0.006306,0.006306,0.006306
77,1.5944,0.79061,1.647,0.91104,0.91906,0.96262,0.62208,0,0,0,0.0062567,0.0062567,0.0062567
78,1.5883,0.77574,1.6199,0.92004,0.91772,0.96267,0.63479,0,0,0,0.0062075,0.0062075,0.0062075
79,1.5957,0.78856,1.6464,0.9011,0.91906,0.95948,0.63149,0,0,0,0.0061582,0.0061582,0.0061582
80,1.5726,0.76964,1.6274,0.92071,0.91862,0.96704,0.64579,0,0,0,0.006109,0.006109,0.006109
81,1.6127,0.79124,1.6585,0.92586,0.92089,0.96896,0.64173,0,0,0,0.0060597,0.0060597,0.0060597
82,1.5883,0.77377,1.6224,0.92513,0.92131,0.9642,0.64607,0,0,0,0.0060104,0.0060104,0.0060104
83,1.5715,0.77625,1.6261,0.92995,0.91277,0.96869,0.64139,0,0,0,0.0059612,0.0059612,0.0059612
84,1.5481,0.75706,1.6318,0.92229,0.91817,0.96989,0.64322,0,0,0,0.0059119,0.0059119,0.0059119
85,1.5439,0.7522,1.6057,0.92369,0.92401,0.97103,0.64954,0,0,0,0.0058627,0.0058627,0.0058627
86,1.5553,0.76566,1.6209,0.9331,0.90943,0.96488,0.64496,0,0,0,0.0058134,0.0058134,0.0058134
87,1.5416,0.75835,1.6098,0.93014,0.91277,0.9659,0.64219,0,0,0,0.0057642,0.0057642,0.0057642
88,1.5286,0.75263,1.6142,0.91523,0.91748,0.96749,0.64771,0,0,0,0.0057149,0.0057149,0.0057149
89,1.5258,0.74949,1.602,0.93509,0.91457,0.96907,0.65192,0,0,0,0.0056657,0.0056657,0.0056657
90,1.5476,0.75493,1.6079,0.93414,0.91232,0.96756,0.65437,0,0,0,0.0056164,0.0056164,0.0056164
91,1.5161,0.74711,1.5908,0.91723,0.92186,0.96443,0.65,0,0,0,0.0055672,0.0055672,0.0055672
92,1.5168,0.73904,1.5829,0.9206,0.92131,0.96969,0.65928,0,0,0,0.0055179,0.0055179,0.0055179
93,1.5175,0.74236,1.5976,0.92537,0.91991,0.96937,0.65134,0,0,0,0.0054687,0.0054687,0.0054687
94,1.504,0.73105,1.591,0.92064,0.92851,0.96794,0.66047,0,0,0,0.0054194,0.0054194,0.0054194
95,1.5136,0.73106,1.5839,0.9235,0.92816,0.97055,0.65536,0,0,0,0.0053701,0.0053701,0.0053701
96,1.5047,0.72981,1.5695,0.93155,0.924,0.97044,0.66037,0,0,0,0.0053209,0.0053209,0.0053209
97,1.4998,0.73031,1.5788,0.93268,0.9219,0.97076,0.65657,0,0,0,0.0052716,0.0052716,0.0052716
98,1.4979,0.72303,1.5802,0.92588,0.92677,0.96891,0.65852,0,0,0,0.0052224,0.0052224,0.0052224
99,1.4901,0.72702,1.5784,0.93186,0.92857,0.97147,0.65639,0,0,0,0.0051731,0.0051731,0.0051731
100,1.5003,0.73047,1.5791,0.93062,0.91457,0.97053,0.66427,0,0,0,0.0051239,0.0051239,0.0051239
101,1.4412,0.70051,1.5582,0.93313,0.92131,0.97096,0.67117,0,0,0,0.0050746,0.0050746,0.0050746
102,1.4766,0.70738,1.5603,0.9351,0.91349,0.96948,0.66658,0,0,0,0.0050254,0.0050254,0.0050254
103,1.4686,0.71223,1.5614,0.92244,0.94114,0.973,0.66843,0,0,0,0.0049761,0.0049761,0.0049761
104,1.4304,0.6945,1.5525,0.92396,0.93969,0.97629,0.67695,0,0,0,0.0049269,0.0049269,0.0049269
105,1.4481,0.7061,1.5519,0.92274,0.942,0.97406,0.6725,0,0,0,0.0048776,0.0048776,0.0048776
106,1.4303,0.69162,1.5447,0.92477,0.93415,0.97111,0.66963,0,0,0,0.0048284,0.0048284,0.0048284
107,1.4441,0.69849,1.5423,0.93539,0.9244,0.97177,0.67151,0,0,0,0.0047791,0.0047791,0.0047791
108,1.4277,0.68777,1.5454,0.93067,0.9356,0.97382,0.67097,0,0,0,0.0047299,0.0047299,0.0047299
109,1.4174,0.68288,1.5262,0.93177,0.92896,0.97167,0.66873,0,0,0,0.0046806,0.0046806,0.0046806
110,1.4282,0.68855,1.5452,0.9388,0.92421,0.97525,0.67469,0,0,0,0.0046313,0.0046313,0.0046313
111,1.4058,0.67857,1.5179,0.94318,0.92551,0.97396,0.6748,0,0,0,0.0045821,0.0045821,0.0045821
112,1.4117,0.68429,1.5282,0.93956,0.91573,0.97209,0.67802,0,0,0,0.0045328,0.0045328,0.0045328
113,1.4137,0.6862,1.5382,0.92852,0.9321,0.97374,0.67686,0,0,0,0.0044836,0.0044836,0.0044836
114,1.3987,0.68309,1.5203,0.93388,0.93121,0.97451,0.67819,0,0,0,0.0044343,0.0044343,0.0044343
115,1.3903,0.6768,1.5362,0.93214,0.92641,0.96884,0.67872,0,0,0,0.0043851,0.0043851,0.0043851
116,1.4006,0.67659,1.523,0.94153,0.93394,0.97261,0.6835,0,0,0,0.0043358,0.0043358,0.0043358
117,1.3838,0.6689,1.5072,0.93717,0.92356,0.97269,0.68268,0,0,0,0.0042866,0.0042866,0.0042866
118,1.4005,0.671,1.508,0.9345,0.93525,0.97513,0.68402,0,0,0,0.0042373,0.0042373,0.0042373
119,1.3793,0.67228,1.5036,0.93741,0.92536,0.97152,0.68146,0,0,0,0.0041881,0.0041881,0.0041881
120,1.3835,0.66824,1.5049,0.92906,0.92986,0.97466,0.6882,0,0,0,0.0041388,0.0041388,0.0041388
121,1.3871,0.67729,1.5131,0.93734,0.933,0.97577,0.68323,0,0,0,0.0040896,0.0040896,0.0040896
122,1.3471,0.64749,1.4847,0.94429,0.92226,0.97654,0.69209,0,0,0,0.0040403,0.0040403,0.0040403
123,1.3835,0.66631,1.4996,0.93074,0.9426,0.97548,0.68637,0,0,0,0.003991,0.003991,0.003991
124,1.3326,0.64464,1.4846,0.94344,0.92671,0.97671,0.69245,0,0,0,0.0039418,0.0039418,0.0039418
125,1.3671,0.65432,1.4901,0.93203,0.93255,0.97282,0.68962,0,0,0,0.0038925,0.0038925,0.0038925
126,1.3576,0.65533,1.4795,0.93615,0.94939,0.97569,0.69008,0,0,0,0.0038433,0.0038433,0.0038433
127,1.3445,0.64254,1.4691,0.93784,0.94289,0.97731,0.69424,0,0,0,0.003794,0.003794,0.003794
128,1.3376,0.64597,1.4746,0.93602,0.94721,0.97697,0.68447,0,0,0,0.0037448,0.0037448,0.0037448
129,1.3574,0.65665,1.4986,0.94241,0.92761,0.9746,0.69123,0,0,0,0.0036955,0.0036955,0.0036955
130,1.3515,0.64418,1.4794,0.93165,0.94694,0.97628,0.69581,0,0,0,0.0036463,0.0036463,0.0036463
131,1.3103,0.63391,1.471,0.95079,0.92097,0.9765,0.69464,0,0,0,0.003597,0.003597,0.003597
132,1.3018,0.62776,1.4578,0.94021,0.93345,0.97643,0.70271,0,0,0,0.0035478,0.0035478,0.0035478
133,1.3169,0.62924,1.4546,0.95286,0.92311,0.97273,0.69265,0,0,0,0.0034985,0.0034985,0.0034985
