                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
46,1.429,0.73437,1.506,0.88232,0.8714,0.92866,0.55315,1.4028,0.72849,1.6352,0.007822,0.007822,0.007822
47,1.4212,0.73325,1.4966,0.86408,0.87757,0.93007,0.54383,1.4504,0.71188,1.665,0.0077725,0.0077725,0.0077725
48,1.4247,0.7304,1.4943,0.88786,0.85971,0.93439,0.54851,1.4355,0.71669,1.65,0.007723,0.007723,0.007723
49,1.3975,0.71007,1.4748,0.89831,0.86061,0.93521,0.56521,1.4043,0.69424,1.616,0.0076735,0.0076735,0.0076735
50,1.4026,0.7131,1.4747,0.89323,0.8696,0.93912,0.55915,1.4248,0.70809,1.6339,0.007624,0.007624,0.007624
51,1.3919,0.70917,1.4738,0.87495,0.86833,0.92859,0.56377,1.3954,0.70519,1.6077,0.0075745,0.0075745,0.0075745
52,1.39,0.711,1.4644,0.89206,0.87095,0.9401,0.56545,1.4103,0.67709,1.6216,0.007525,0.007525,0.007525
53,1.3791,0.69728,1.4675,0.91801,0.8696,0.94141,0.57316,1.4061,0.6752,1.617,0.0074755,0.0074755,0.0074755
54,1.3894,0.70557,1.4613,0.88658,0.8752,0.92804,0.5508,1.4173,0.71013,1.6353,0.007426,0.007426,0.007426
55,1.3666,0.69568,1.4685,0.89943,0.87365,0.94252,0.56159,1.4207,0.6756,1.6404,0.0073765,0.0073765,0.0073765
56,1.38,0.70034,1.4536,0.89494,0.88481,0.939,0.5698,1.3937,0.67365,1.6139,0.007327,0.007327,0.007327
57,1.3632,0.68479,1.4479,0.88318,0.89029,0.94599,0.57978,1.3767,0.66936,1.6015,0.0072775,0.0072775,0.0072775
58,1.3611,0.68789,1.4492,0.90156,0.87716,0.94635,0.57917,1.3846,0.6541,1.6055,0.007228,0.007228,0.007228
59,1.3538,0.68536,1.4488,0.89443,0.8914,0.94781,0.58027,1.3746,0.65585,1.5984,0.0071785,0.0071785,0.0071785
60,1.3587,0.67524,1.4387,0.90941,0.8621,0.94113,0.58352,1.3481,0.66608,1.579,0.007129,0.007129,0.007129
61,1.3498,0.66977,1.4399,0.88168,0.87005,0.93328,0.55933,1.4263,0.68957,1.6446,0.0070795,0.0070795,0.0070795
62,1.3371,0.66878,1.4258,0.894,0.88804,0.9497,0.58678,1.3584,0.64308,1.5763,0.00703,0.00703,0.00703
63,1.3421,0.67123,1.4338,0.88214,0.86511,0.9247,0.54691,1.438,0.68962,1.6524,0.0069805,0.0069805,0.0069805
64,1.3389,0.66721,1.4255,0.89521,0.88737,0.94568,0.58494,1.3485,0.64249,1.5718,0.006931,0.006931,0.006931
65,1.3227,0.66464,1.4189,0.89309,0.87545,0.94419,0.57895,1.3751,0.65669,1.5993,0.0068815,0.0068815,0.0068815
66,1.3258,0.65896,1.4118,0.89482,0.90281,0.94822,0.59027,1.3377,0.63424,1.5626,0.006832,0.006832,0.006832
67,1.3143,0.64995,1.411,0.88606,0.88117,0.94051,0.57561,1.3767,0.6553,1.5941,0.0067825,0.0067825,0.0067825
68,1.3155,0.65483,1.4074,0.90735,0.88984,0.94859,0.5906,1.3467,0.63056,1.5776,0.006733,0.006733,0.006733
69,1.317,0.64731,1.4007,0.90996,0.87246,0.94494,0.58462,1.3745,0.64402,1.6095,0.0066835,0.0066835,0.0066835
70,1.3225,0.64687,1.4192,0.89489,0.8732,0.93859,0.5886,1.341,0.64112,1.5739,0.006634,0.006634,0.006634
71,1.3202,0.65301,1.4154,0.8949,0.88827,0.94529,0.59585,1.3406,0.62725,1.5606,0.0065845,0.0065845,0.0065845
72,1.29,0.63592,1.3946,0.89327,0.90198,0.94514,0.60036,1.3216,0.62224,1.5543,0.006535,0.006535,0.006535
73,1.2874,0.64046,1.3934,0.90957,0.88219,0.94763,0.59544,1.3512,0.61795,1.5783,0.0064855,0.0064855,0.0064855
74,1.288,0.63168,1.3963,0.89304,0.88984,0.94566,0.59693,1.3444,0.61742,1.5828,0.006436,0.006436,0.006436
75,1.2738,0.63207,1.3978,0.8974,0.88309,0.9453,0.59874,1.3238,0.62115,1.5515,0.0063865,0.0063865,0.0063865
