                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.1421,0.5476,1.3009,0.89837,0.89568,0.95044,0.61466,1.2897,0.60097,1.5522,0.0078715,0.0078715,0.0078715
46,1.1299,0.54267,1.3037,0.90065,0.90898,0.95433,0.61759,1.2639,0.5756,1.5182,0.007822,0.007822,0.007822
47,1.1334,0.54214,1.3016,0.93056,0.90986,0.967,0.63921,1.2297,0.5489,1.4907,0.0077725,0.0077725,0.0077725
48,1.1213,0.53612,1.288,0.90734,0.90468,0.95913,0.64232,1.2132,0.55141,1.4812,0.007723,0.007723,0.007723
49,1.0932,0.52033,1.2706,0.91447,0.91457,0.96159,0.6427,1.2225,0.53978,1.4923,0.0076735,0.0076735,0.0076735
50,1.0951,0.52383,1.2701,0.9184,0.90198,0.96273,0.63574,1.2377,0.55086,1.4838,0.007624,0.007624,0.007624
51,1.0798,0.51685,1.2647,0.9143,0.91138,0.9649,0.6486,1.2113,0.52982,1.4868,0.0075745,0.0075745,0.0075745
52,1.0773,0.51457,1.2596,0.91579,0.90952,0.96382,0.64794,1.2142,0.54034,1.4897,0.007525,0.007525,0.007525
53,1.0635,0.50605,1.2541,0.90665,0.90647,0.9573,0.64262,1.214,0.54834,1.4953,0.0074755,0.0074755,0.0074755
54,1.0674,0.50639,1.2451,0.91256,0.91637,0.96213,0.63508,1.2281,0.54179,1.5107,0.007426,0.007426,0.007426
55,1.0398,0.49716,1.2466,0.93092,0.90333,0.96661,0.65974,1.1935,0.52249,1.4683,0.0073765,0.0073765,0.0073765
56,1.051,0.49543,1.2336,0.9267,0.91524,0.96712,0.65461,1.2042,0.52255,1.4756,0.007327,0.007327,0.007327
57,1.0234,0.48389,1.2221,0.92746,0.91187,0.96749,0.65608,1.2156,0.52446,1.4804,0.0072775,0.0072775,0.0072775
58,1.0271,0.48779,1.2271,0.91791,0.91502,0.963,0.64693,1.2219,0.53263,1.5111,0.007228,0.007228,0.007228
59,1.016,0.48228,1.221,0.91403,0.93975,0.96827,0.66351,1.1806,0.50339,1.4491,0.0071785,0.0071785,0.0071785
60,1.0139,0.47609,1.2106,0.94097,0.89973,0.96937,0.66653,1.1631,0.50964,1.4486,0.007129,0.007129,0.007129
61,0.99887,0.47239,1.2043,0.92984,0.91862,0.96644,0.66255,1.1791,0.51112,1.4745,0.0070795,0.0070795,0.0070795
62,0.98102,0.46237,1.1926,0.92525,0.91906,0.96476,0.65969,1.185,0.5174,1.4753,0.00703,0.00703,0.00703
63,0.99422,0.46592,1.2019,0.93204,0.9348,0.97398,0.66783,1.1716,0.50479,1.4503,0.0069805,0.0069805,0.0069805
64,0.97733,0.46288,1.187,0.93069,0.91547,0.96733,0.66868,1.1594,0.50592,1.4398,0.006931,0.006931,0.006931
65,0.96508,0.45858,1.1849,0.91589,0.9321,0.96828,0.6711,1.1668,0.49892,1.4559,0.0068815,0.0068815,0.0068815
66,0.96509,0.45082,1.1763,0.93162,0.91906,0.96695,0.67443,1.1595,0.4988,1.4528,0.006832,0.006832,0.006832
67,0.94898,0.44594,1.1725,0.93655,0.9225,0.97324,0.68222,1.1347,0.48509,1.4234,0.0067825,0.0067825,0.0067825
68,0.94815,0.44754,1.1663,0.93623,0.92426,0.96982,0.68625,1.1286,0.48453,1.4242,0.006733,0.006733,0.006733
69,0.9447,0.44204,1.1555,0.94813,0.91322,0.96841,0.67501,1.1428,0.49558,1.4413,0.0066835,0.0066835,0.0066835
70,0.94403,0.44016,1.1696,0.93543,0.92491,0.96973,0.68921,1.1323,0.48932,1.4337,0.006634,0.006634,0.006634
71,0.93955,0.44248,1.165,0.91705,0.93953,0.97065,0.68416,1.1244,0.48755,1.4137,0.0065845,0.0065845,0.0065845
72,0.91451,0.43286,1.1466,0.92716,0.93121,0.96827,0.68734,1.1188,0.48243,1.4232,0.006535,0.006535,0.006535
73,0.90214,0.42784,1.1397,0.92783,0.9402,0.96965,0.68904,1.1142,0.4755,1.4194,0.0064855,0.0064855,0.0064855
74,0.90252,0.42322,1.1445,0.94277,0.92491,0.97187,0.69804,1.1174,0.47161,1.4221,0.006436,0.006436,0.006436
75,0.89149,0.42008,1.1448,0.9471,0.91817,0.97249,0.702,1.1053,0.46931,1.402,0.0063865,0.0063865,0.0063865
76,0.89498,0.42164,1.1348,0.94156,0.91997,0.97104,0.69253,1.1192,0.47179,1.4298,0.006337,0.006337,0.006337
77,0.88659,0.42159,1.1307,0.94791,0.91772,0.97092,0.69851,1.1091,0.48683,1.4104,0.0062875,0.0062875,0.0062875
78,0.87852,0.41677,1.1275,0.93778,0.92849,0.97054,0.69866,1.1113,0.47456,1.4125,0.006238,0.006238,0.006238
79,0.88063,0.41332,1.1231,0.94554,0.91187,0.97061,0.69956,1.0966,0.473,1.4263,0.0061885,0.0061885,0.0061885
80,0.87312,0.41187,1.1331,0.94429,0.9299,0.97268,0.69893,1.089,0.46225,1.3982,0.006139,0.006139,0.006139
81,0.86657,0.4082,1.1158,0.94717,0.92705,0.96963,0.69736,1.0972,0.46609,1.4105,0.0060895,0.0060895,0.0060895
82,0.84487,0.40387,1.1122,0.94626,0.92627,0.97319,0.70129,1.0945,0.47556,1.4132,0.00604,0.00604,0.00604
83,0.85695,0.40321,1.1197,0.9301,0.92743,0.96841,0.69575,1.0874,0.46824,1.4092,0.0059905,0.0059905,0.0059905
84,0.83534,0.39245,1.0988,0.94636,0.92809,0.97248,0.69756,1.0906,0.46211,1.4169,0.005941,0.005941,0.005941
85,0.83961,0.39629,1.0961,0.94538,0.93393,0.97249,0.70471,1.0761,0.45649,1.4069,0.0058915,0.0058915,0.0058915
86,0.82678,0.39135,1.0886,0.94678,0.92536,0.9688,0.69496,1.0877,0.46854,1.4327,0.005842,0.005842,0.005842
87,0.81941,0.38818,1.087,0.9561,0.92266,0.97543,0.71572,1.0676,0.45959,1.4013,0.0057925,0.0057925,0.0057925
88,0.82693,0.38986,1.0851,0.93627,0.93807,0.96987,0.70434,1.0782,0.46167,1.4062,0.005743,0.005743,0.005743
89,0.81999,0.38752,1.0884,0.93622,0.93726,0.97135,0.70933,1.0711,0.46403,1.4151,0.0056935,0.0056935,0.0056935
90,0.80333,0.3829,1.0787,0.93894,0.93615,0.97369,0.71145,1.0714,0.45182,1.4055,0.005644,0.005644,0.005644
91,0.801,0.38186,1.0849,0.94017,0.93121,0.97148,0.71312,1.072,0.45149,1.4031,0.0055945,0.0055945,0.0055945
92,0.79611,0.37623,1.0732,0.93965,0.92896,0.9676,0.71685,1.0626,0.45779,1.4094,0.005545,0.005545,0.005545
93,0.78945,0.3763,1.0676,0.94312,0.93196,0.97342,0.71449,1.0499,0.44574,1.4127,0.0054955,0.0054955,0.0054955
94,0.78688,0.37357,1.0672,0.93967,0.9348,0.97039,0.72067,1.0563,0.44738,1.4021,0.005446,0.005446,0.005446
95,0.79727,0.37924,1.0811,0.94003,0.93043,0.97217,0.71182,1.0634,0.45927,1.4005,0.0053965,0.0053965,0.0053965
96,0.78791,0.37228,1.0707,0.93566,0.93508,0.96972,0.71866,1.0479,0.45082,1.3922,0.005347,0.005347,0.005347
97,0.77229,0.36833,1.0529,0.9454,0.93345,0.9702,0.72336,1.0434,0.44458,1.3884,0.0052975,0.0052975,0.0052975
98,0.77599,0.36616,1.0575,0.9483,0.92376,0.9717,0.71773,1.062,0.46063,1.4097,0.005248,0.005248,0.005248
99,0.76948,0.36885,1.0583,0.93929,0.93076,0.96819,0.72009,1.051,0.4542,1.4015,0.0051985,0.0051985,0.0051985
100,0.76001,0.36562,1.0526,0.94269,0.933,0.97017,0.71717,1.0552,0.4632,1.399,0.005149,0.005149,0.005149
101,0.76054,0.3622,1.0505,0.92942,0.9393,0.96686,0.72102,1.0421,0.44872,1.3917,0.0050995,0.0050995,0.0050995
102,0.7568,0.35937,1.0428,0.94699,0.93121,0.97384,0.72726,1.0368,0.43967,1.4035,0.00505,0.00505,0.00505
103,0.75784,0.36119,1.0506,0.94854,0.9283,0.97046,0.71876,1.0448,0.44892,1.4012,0.0050005,0.0050005,0.0050005
104,0.74303,0.35403,1.0428,0.95579,0.92221,0.97487,0.72225,1.0408,0.4402,1.409,0.004951,0.004951,0.004951
105,0.73417,0.35129,1.0303,0.94012,0.94335,0.97367,0.72643,1.0304,0.43098,1.3979,0.0049015,0.0049015,0.0049015
106,0.73281,0.34811,1.0321,0.94934,0.93705,0.97387,0.7272,1.0267,0.43273,1.3936,0.004852,0.004852,0.004852
107,0.72863,0.35003,1.0302,0.94454,0.93435,0.97408,0.72582,1.0399,0.43703,1.3959,0.0048025,0.0048025,0.0048025
108,0.72091,0.34849,1.0336,0.95137,0.93249,0.97488,0.72493,1.0335,0.43299,1.406,0.004753,0.004753,0.004753
109,0.71956,0.34452,1.0313,0.94795,0.94179,0.97341,0.72541,1.0316,0.43775,1.3956,0.0047035,0.0047035,0.0047035
110,0.7236,0.34717,1.0314,0.94924,0.94167,0.97427,0.73257,1.0178,0.42877,1.3955,0.004654,0.004654,0.004654
