               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.033602,            0.042868,                   0,             0.90451,             0.89869,             0.94351,             0.51967,            0.033944,            0.035443,                   0,           0.0081776,           0.0081776,           0.0081776
                  39,            0.033016,            0.043093,                   0,             0.89708,             0.90917,               0.951,             0.56316,            0.031059,            0.034702,                   0,           0.0081284,           0.0081284,           0.0081284
                  40,            0.033318,            0.042995,                   0,             0.88674,             0.91187,             0.95273,             0.56056,            0.031284,            0.035033,                   0,           0.0080791,           0.0080791,           0.0080791
                  41,            0.033038,            0.042408,                   0,             0.89976,             0.90409,             0.94974,             0.55686,            0.031554,            0.034804,                   0,           0.0080299,           0.0080299,           0.0080299
                  42,            0.032643,            0.041495,                   0,             0.91605,             0.90018,             0.95418,             0.56999,            0.030972,            0.034381,                   0,           0.0079806,           0.0079806,           0.0079806
                  43,            0.032425,             0.04112,                   0,             0.91805,             0.90166,             0.95513,             0.56533,             0.03073,            0.034301,                   0,           0.0079313,           0.0079313,           0.0079313
                  44,            0.031998,            0.041831,                   0,             0.90686,             0.90288,             0.95449,             0.55915,            0.031095,            0.034436,                   0,           0.0078821,           0.0078821,           0.0078821
                  45,            0.031977,            0.040842,                   0,             0.91832,             0.90484,             0.95453,             0.57553,            0.030423,            0.034167,                   0,           0.0078328,           0.0078328,           0.0078328
                  46,            0.031789,            0.041306,                   0,             0.90816,             0.90703,             0.95513,             0.55411,            0.031528,             0.03531,                   0,           0.0077836,           0.0077836,           0.0077836
                  47,            0.031287,            0.039574,                   0,             0.90446,             0.91007,             0.95255,             0.57143,            0.030696,            0.034543,                   0,           0.0077343,           0.0077343,           0.0077343
                  48,            0.031276,            0.040345,                   0,             0.90251,             0.89658,             0.94363,             0.53393,            0.032659,            0.036008,                   0,           0.0076851,           0.0076851,           0.0076851
                  49,            0.031583,            0.042047,                   0,             0.89687,             0.93345,             0.95622,             0.58332,            0.030138,            0.033598,                   0,           0.0076358,           0.0076358,           0.0076358
                  50,            0.031036,            0.040887,                   0,             0.91246,             0.92491,             0.95967,             0.56233,            0.031344,            0.033638,                   0,           0.0075866,           0.0075866,           0.0075866
                  51,            0.030904,            0.039594,                   0,             0.89949,             0.88804,              0.9423,             0.53405,            0.032359,            0.036617,                   0,           0.0075373,           0.0075373,           0.0075373
                  52,            0.030913,             0.03909,                   0,             0.92111,             0.91457,             0.96035,              0.5882,            0.029873,            0.033324,                   0,           0.0074881,           0.0074881,           0.0074881
                  53,            0.030886,            0.039951,                   0,             0.91791,             0.89613,              0.9537,             0.56667,            0.031279,            0.034486,                   0,           0.0074388,           0.0074388,           0.0074388
                  54,            0.030605,            0.039442,                   0,             0.92177,             0.92356,             0.96294,             0.59607,             0.02928,            0.032865,                   0,           0.0073896,           0.0073896,           0.0073896
                  55,            0.030081,            0.039942,                   0,             0.88692,             0.91007,             0.94996,             0.56338,            0.031075,            0.035735,                   0,           0.0073403,           0.0073403,           0.0073403
                  56,            0.029747,            0.039235,                   0,             0.90418,             0.91547,             0.95588,             0.58555,            0.029818,            0.034366,                   0,            0.007291,            0.007291,            0.007291
                  57,            0.029898,            0.038739,                   0,             0.91245,             0.92941,             0.96307,             0.58855,            0.029881,             0.03339,                   0,           0.0072418,           0.0072418,           0.0072418
                  58,            0.029564,             0.03867,                   0,              0.9197,             0.92176,             0.96138,             0.60247,             0.02932,            0.033732,                   0,           0.0071925,           0.0071925,           0.0071925
                  59,            0.029087,            0.038226,                   0,             0.92718,             0.93121,             0.96735,             0.60067,            0.029111,            0.033103,                   0,           0.0071433,           0.0071433,           0.0071433
                  60,            0.029247,            0.038292,                   0,             0.90058,             0.92052,             0.95509,             0.56841,            0.030932,            0.034835,                   0,            0.007094,            0.007094,            0.007094
                  61,            0.028789,            0.037727,                   0,             0.92323,             0.91923,             0.96312,             0.60126,            0.029071,            0.032764,                   0,           0.0070448,           0.0070448,           0.0070448
                  62,            0.029292,            0.038633,                   0,             0.91014,             0.91097,             0.95829,             0.58072,            0.030525,            0.034427,                   0,           0.0069955,           0.0069955,           0.0069955
                  63,             0.02909,            0.038117,                   0,             0.92909,             0.92491,             0.96694,             0.61135,            0.028783,            0.032441,                   0,           0.0069463,           0.0069463,           0.0069463
                  64,            0.028806,            0.037157,                   0,             0.90736,             0.93805,             0.96161,             0.60001,            0.029108,            0.032557,                   0,            0.006897,            0.006897,            0.006897
                  65,            0.028895,            0.037969,                   0,             0.92282,             0.91394,             0.96206,             0.60455,            0.029192,            0.032623,                   0,           0.0068478,           0.0068478,           0.0068478
                  66,            0.028406,            0.037779,                   0,              0.9205,             0.91624,             0.95766,             0.58499,            0.030419,             0.03379,                   0,           0.0067985,           0.0067985,           0.0067985
                  67,            0.028195,            0.037045,                   0,             0.91924,             0.92638,             0.96435,             0.61441,            0.028463,            0.032693,                   0,           0.0067493,           0.0067493,           0.0067493
                  68,            0.028643,            0.037457,                   0,             0.92311,              0.9393,              0.9651,             0.61839,            0.028383,             0.03178,                   0,              0.0067,              0.0067,              0.0067
                  69,            0.028214,            0.036626,                   0,             0.92066,             0.93031,             0.96535,             0.61325,            0.028602,             0.03222,                   0,           0.0066507,           0.0066507,           0.0066507
                  70,            0.027887,            0.036359,                   0,              0.9259,             0.92671,             0.96363,             0.62214,            0.028319,            0.032663,                   0,           0.0066015,           0.0066015,           0.0066015
                  71,            0.027645,             0.03647,                   0,             0.93123,             0.93163,             0.96831,             0.62836,            0.027934,            0.032103,                   0,           0.0065522,           0.0065522,           0.0065522
                  72,            0.027684,             0.03675,                   0,             0.92219,             0.92851,             0.96127,             0.60944,            0.028775,            0.032798,                   0,            0.006503,            0.006503,            0.006503
                  73,            0.027852,             0.03585,                   0,             0.93636,             0.92616,             0.96656,              0.6327,            0.028031,            0.032256,                   0,           0.0064537,           0.0064537,           0.0064537
                  74,            0.027553,             0.03593,                   0,             0.93058,             0.91612,             0.96381,             0.62473,            0.028209,            0.032636,                   0,           0.0064045,           0.0064045,           0.0064045
                  75,            0.027208,            0.036071,                   0,             0.91635,             0.94559,             0.96846,             0.63093,            0.027628,            0.032131,                   0,           0.0063552,           0.0063552,           0.0063552
                  76,            0.027048,            0.035632,                   0,             0.93172,             0.92806,             0.96717,             0.63038,            0.027571,            0.032276,                   0,            0.006306,            0.006306,            0.006306
                  77,            0.026948,            0.034617,                   0,              0.9404,             0.93649,             0.97057,             0.63548,            0.027678,            0.031598,                   0,           0.0062567,           0.0062567,           0.0062567
                  78,            0.026896,            0.035307,                   0,             0.92964,             0.94379,             0.97066,             0.64167,            0.027094,            0.031384,                   0,           0.0062075,           0.0062075,           0.0062075
                  79,            0.026363,             0.03411,                   0,              0.9381,             0.93354,             0.96765,             0.64005,            0.027195,            0.031372,                   0,           0.0061582,           0.0061582,           0.0061582
                  80,            0.026703,             0.03446,                   0,             0.94747,             0.92491,             0.97287,              0.6446,            0.026974,            0.031581,                   0,            0.006109,            0.006109,            0.006109
                  81,            0.026502,            0.034579,                   0,             0.93814,             0.92736,             0.96705,             0.63772,            0.027504,            0.032098,                   0,           0.0060597,           0.0060597,           0.0060597
                  82,            0.026158,            0.034703,                   0,             0.93239,              0.9429,             0.97113,              0.6468,            0.026916,            0.031431,                   0,           0.0060104,           0.0060104,           0.0060104
                  83,            0.026419,            0.034946,                   0,             0.94998,             0.91906,             0.97077,             0.63703,            0.027637,            0.032266,                   0,           0.0059612,           0.0059612,           0.0059612
