                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.2004,0.57672,1.3365,0.91758,0.89523,0.96034,0.62355,1.2812,0.58629,1.5245,0.0078715,0.0078715,0.0078715
46,1.1959,0.5818,1.3446,0.91983,0.88728,0.95678,0.60978,1.3193,0.591,1.5613,0.007822,0.007822,0.007822
47,1.1918,0.57375,1.3387,0.91163,0.89524,0.95633,0.60813,1.2991,0.59589,1.538,0.0077725,0.0077725,0.0077725
48,1.1839,0.57048,1.3284,0.89208,0.92221,0.96163,0.62353,1.2745,0.57367,1.53,0.007723,0.007723,0.007723
49,1.1465,0.54989,1.3064,0.92122,0.90153,0.96325,0.63711,1.2478,0.55599,1.4983,0.0076735,0.0076735,0.0076735
50,1.154,0.55637,1.3075,0.91674,0.90603,0.96421,0.63546,1.2433,0.57262,1.4961,0.007624,0.007624,0.007624
51,1.1458,0.55173,1.3067,0.89786,0.90913,0.95816,0.63377,1.2465,0.56501,1.5054,0.0075745,0.0075745,0.0075745
52,1.1446,0.54719,1.3009,0.90769,0.91682,0.9665,0.63772,1.2455,0.5596,1.5234,0.007525,0.007525,0.007525
53,1.13,0.54053,1.2973,0.90152,0.90559,0.96176,0.63579,1.2433,0.56733,1.4957,0.0074755,0.0074755,0.0074755
54,1.1314,0.53895,1.2884,0.92459,0.89859,0.96345,0.64663,1.2159,0.53869,1.473,0.007426,0.007426,0.007426
55,1.1128,0.53053,1.2911,0.91994,0.91637,0.96537,0.64697,1.2308,0.5312,1.4909,0.0073765,0.0073765,0.0073765
56,1.1184,0.53021,1.2782,0.91285,0.91412,0.96219,0.63412,1.2721,0.56806,1.5171,0.007327,0.007327,0.007327
57,1.0908,0.51816,1.2629,0.91279,0.90832,0.96183,0.63915,1.2357,0.54533,1.486,0.0072775,0.0072775,0.0072775
58,1.0997,0.52655,1.2732,0.90622,0.91772,0.95785,0.63823,1.224,0.54235,1.495,0.007228,0.007228,0.007228
59,1.0852,0.5172,1.2663,0.92708,0.90899,0.96463,0.64442,1.2348,0.5301,1.4944,0.0071785,0.0071785,0.0071785
60,1.0789,0.50648,1.2547,0.92769,0.9114,0.96658,0.65343,1.2105,0.52472,1.4777,0.007129,0.007129,0.007129
61,1.072,0.51172,1.2546,0.91843,0.90617,0.9622,0.64841,1.2235,0.54376,1.4849,0.0070795,0.0070795,0.0070795
62,1.0559,0.49642,1.2395,0.91284,0.91682,0.96719,0.65539,1.2092,0.53603,1.4975,0.00703,0.00703,0.00703
63,1.0661,0.50101,1.2481,0.92851,0.91686,0.969,0.66306,1.1861,0.51834,1.453,0.0069805,0.0069805,0.0069805
64,1.0527,0.4945,1.2343,0.91697,0.92446,0.96651,0.66009,1.1793,0.51301,1.4542,0.006931,0.006931,0.006931
65,1.0447,0.4938,1.2318,0.92976,0.89523,0.95994,0.63583,1.2541,0.53821,1.5213,0.0068815,0.0068815,0.0068815
66,1.0425,0.48936,1.2226,0.91689,0.92767,0.97021,0.66583,1.1842,0.51217,1.4611,0.006832,0.006832,0.006832
67,1.0255,0.48134,1.2202,0.92765,0.91367,0.96801,0.65767,1.19,0.51373,1.4735,0.0067825,0.0067825,0.0067825
68,1.0269,0.48429,1.2176,0.93177,0.92101,0.97385,0.67205,1.1712,0.49816,1.4373,0.006733,0.006733,0.006733
69,1.0211,0.48027,1.2055,0.91845,0.9357,0.97327,0.66938,1.1684,0.50644,1.4524,0.0066835,0.0066835,0.0066835
