                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
31,1.4585,0.77405,1.4619,1.5134,0.80555,1.4729,0.85164,0.82059,0.9059,0.5186,1.4189,0.7476,1.5177,1.4475,0.71076,1.5298,0.0017143,0.0017143,0.0017143
32,1.4357,0.77161,1.4445,1.5005,0.81232,1.4559,0.82164,0.82824,0.89965,0.52288,1.364,0.7511,1.4931,1.4049,0.72492,1.5032,0.0017045,0.0017045,0.0017045
33,1.4391,0.76189,1.4566,1.5019,0.80754,1.4657,0.84415,0.82807,0.90506,0.52281,1.3967,0.74506,1.5099,1.4374,0.71455,1.5348,0.0016946,0.0016946,0.0016946
34,1.4256,0.74914,1.4249,1.4792,0.79239,1.43,0.81052,0.85203,0.90509,0.51607,1.4044,0.7372,1.5315,1.4261,0.72438,1.5312,0.0016848,0.0016848,0.0016848
35,1.4151,0.74099,1.4224,1.4784,0.76522,1.4325,0.86229,0.82776,0.91246,0.53852,1.374,0.72391,1.4946,1.3922,0.6855,1.5027,0.0016749,0.0016749,0.0016749
36,1.399,0.73107,1.4221,1.4587,0.76299,1.4306,0.84223,0.84847,0.91006,0.5336,1.3596,0.70335,1.4934,1.391,0.66844,1.4934,0.0016651,0.0016651,0.0016651
37,1.4097,0.72957,1.4299,1.4734,0.75465,1.4384,0.84319,0.85522,0.91382,0.52485,1.3922,0.71238,1.5045,1.4244,0.67879,1.5155,0.0016552,0.0016552,0.0016552
38,1.3995,0.72739,1.4113,1.4675,0.76138,1.4234,0.8412,0.86781,0.92442,0.54328,1.3397,0.689,1.4723,1.3756,0.64716,1.4899,0.0016454,0.0016454,0.0016454
39,1.3787,0.71036,1.4019,1.4442,0.73285,1.408,0.88201,0.84034,0.92429,0.54846,1.3472,0.68427,1.4824,1.384,0.64057,1.4833,0.0016355,0.0016355,0.0016355
40,1.3757,0.70669,1.4028,1.4489,0.73915,1.4093,0.86994,0.84802,0.92194,0.54825,1.329,0.67127,1.4613,1.3739,0.6459,1.4764,0.0016257,0.0016257,0.0016257
41,1.3512,0.70087,1.3901,1.414,0.72657,1.3941,0.84373,0.85697,0.91951,0.54781,1.336,0.68819,1.4767,1.3748,0.66028,1.4842,0.0016158,0.0016158,0.0016158
42,1.3646,0.69357,1.386,1.4252,0.71431,1.3924,0.87104,0.85162,0.92433,0.55089,1.3477,0.65338,1.463,1.3801,0.62299,1.4694,0.001606,0.001606,0.001606
