                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,0.52014,0.55728,0.17702,0.83616,0.84667,0.89947,0.50937,0.44837,0.53874,0.1884,0.0015764,0.0015764,0.0015764
46,0.51398,0.54486,0.17564,0.86218,0.80755,0.88962,0.49932,0.44618,0.54405,0.18619,0.0015666,0.0015666,0.0015666
47,0.5129,0.53496,0.17537,0.83705,0.85072,0.89559,0.50431,0.45648,0.53247,0.19166,0.0015567,0.0015567,0.0015567
48,0.51514,0.55243,0.17997,0.84149,0.817,0.87967,0.49201,0.46537,0.54583,0.19895,0.0015469,0.0015469,0.0015469
49,0.51656,0.54905,0.18138,0.8166,0.84888,0.85347,0.47634,0.46075,0.54749,0.19541,0.001537,0.001537,0.001537
50,0.51151,0.5468,0.17669,0.85811,0.85612,0.90908,0.50589,0.45419,0.5119,0.19591,0.0015272,0.0015272,0.0015272
51,0.50476,0.52825,0.17325,0.85684,0.86654,0.90823,0.51294,0.44909,0.51424,0.19292,0.0015173,0.0015173,0.0015173
52,0.50565,0.53329,0.1744,0.85446,0.85342,0.90001,0.51502,0.44226,0.54089,0.18603,0.0015075,0.0015075,0.0015075
53,0.50615,0.52803,0.17057,0.85623,0.84354,0.89859,0.49923,0.46441,0.51345,0.20043,0.0014976,0.0014976,0.0014976
54,0.50225,0.52131,0.17312,0.87466,0.86871,0.92275,0.52967,0.44033,0.49314,0.18615,0.0014878,0.0014878,0.0014878
55,0.49977,0.51322,0.17714,0.8521,0.85432,0.90199,0.50466,0.45586,0.50536,0.19243,0.0014779,0.0014779,0.0014779
56,0.49475,0.519,0.17429,0.87942,0.85915,0.91581,0.52177,0.44219,0.5096,0.18717,0.0014681,0.0014681,0.0014681
57,0.50358,0.51399,0.17573,0.86398,0.87635,0.9144,0.52568,0.43883,0.51549,0.18483,0.0014582,0.0014582,0.0014582
58,0.49843,0.53229,0.17279,0.86617,0.8614,0.91315,0.5233,0.44258,0.51396,0.18868,0.0014484,0.0014484,0.0014484
59,0.5061,0.51946,0.17442,0.8653,0.84847,0.90564,0.50809,0.45295,0.52264,0.18995,0.0014385,0.0014385,0.0014385
60,0.50114,0.50489,0.17312,0.87538,0.85909,0.918,0.52162,0.44213,0.49722,0.18481,0.0014287,0.0014287,0.0014287
61,0.50974,0.52445,0.17582,0.84995,0.84083,0.90176,0.50278,0.46504,0.5194,0.19653,0.0014188,0.0014188,0.0014188
62,0.4925,0.51625,0.17042,0.86624,0.87942,0.91363,0.52598,0.43761,0.51195,0.18627,0.001409,0.001409,0.001409
63,0.4928,0.51331,0.1723,0.8441,0.8723,0.91072,0.52651,0.43452,0.52487,0.18076,0.0013991,0.0013991,0.0013991
64,0.48276,0.51615,0.16671,0.86831,0.875,0.92271,0.5377,0.43101,0.50026,0.17918,0.0013893,0.0013893,0.0013893
65,0.48705,0.50068,0.16892,0.85629,0.88849,0.92592,0.54101,0.42899,0.50477,0.17905,0.0013794,0.0013794,0.0013794
66,0.48645,0.49494,0.16891,0.87516,0.87941,0.924,0.52973,0.43948,0.49055,0.18438,0.0013696,0.0013696,0.0013696
67,0.4782,0.50258,0.16326,0.87534,0.8732,0.9231,0.53596,0.43034,0.49632,0.1808,0.0013597,0.0013597,0.0013597
68,0.47982,0.49382,0.16591,0.88244,0.8674,0.93001,0.5303,0.44215,0.49999,0.18478,0.0013499,0.0013499,0.0013499
69,0.4882,0.50321,0.16616,0.87593,0.87618,0.92775,0.53781,0.4324,0.49104,0.17958,0.00134,0.00134,0.00134
70,0.48327,0.49231,0.16304,0.87049,0.90243,0.9338,0.54398,0.4282,0.48545,0.17684,0.0013301,0.0013301,0.0013301
71,0.48104,0.48883,0.16437,0.87571,0.89339,0.92787,0.53926,0.42898,0.49913,0.18025,0.0013203,0.0013203,0.0013203
72,0.47553,0.49114,0.16558,0.88103,0.89209,0.93661,0.54905,0.42487,0.47887,0.17629,0.0013104,0.0013104,0.0013104
73,0.47489,0.49326,0.16221,0.88662,0.8786,0.93314,0.55014,0.41936,0.48874,0.17318,0.0013006,0.0013006,0.0013006
74,0.47432,0.49753,0.1614,0.89228,0.87153,0.93277,0.5447,0.4296,0.48178,0.18034,0.0012907,0.0012907,0.0012907
75,0.47431,0.48601,0.16005,0.88171,0.88399,0.92312,0.53433,0.43469,0.49605,0.17992,0.0012809,0.0012809,0.0012809
76,0.46048,0.48135,0.15745,0.88393,0.88174,0.93,0.53488,0.43963,0.49713,0.18356,0.001271,0.001271,0.001271
77,0.48022,0.48644,0.17071,0.875,0.86555,0.92176,0.52688,0.44252,0.4916,0.18617,0.0012612,0.0012612,0.0012612
78,0.49174,0.50453,0.1706,0.87613,0.87773,0.9242,0.5295,0.44254,0.50161,0.18736,0.0012513,0.0012513,0.0012513
79,0.48382,0.49022,0.16999,0.88149,0.85701,0.91658,0.53185,0.43086,0.49714,0.18321,0.0012415,0.0012415,0.0012415
80,0.489,0.49321,0.17035,0.84821,0.86331,0.90714,0.5033,0.45766,0.51159,0.19485,0.0012316,0.0012316,0.0012316
81,0.4908,0.50944,0.1702,0.87667,0.86297,0.92135,0.52335,0.44993,0.4959,0.18897,0.0012218,0.0012218,0.0012218
82,0.49162,0.49366,0.17092,0.88393,0.86241,0.9291,0.52693,0.44435,0.48726,0.18791,0.0012119,0.0012119,0.0012119
83,0.47753,0.49675,0.16532,0.87977,0.89168,0.9305,0.53433,0.43727,0.48611,0.18264,0.0012021,0.0012021,0.0012021
84,0.47253,0.48711,0.16122,0.88427,0.88297,0.93115,0.54119,0.43357,0.4856,0.1824,0.0011922,0.0011922,0.0011922
85,0.48598,0.49039,0.16907,0.87833,0.87639,0.9265,0.53624,0.43496,0.48214,0.18557,0.0011824,0.0011824,0.0011824
86,0.47961,0.48842,0.16998,0.88598,0.86556,0.92654,0.5361,0.43666,0.47664,0.18439,0.0011725,0.0011725,0.0011725
87,0.48109,0.48706,0.16806,0.88481,0.8768,0.9246,0.53461,0.44225,0.4945,0.18707,0.0011627,0.0011627,0.0011627
88,0.47829,0.49274,0.16468,0.88081,0.88174,0.93045,0.53699,0.43276,0.48941,0.1812,0.0011528,0.0011528,0.0011528
89,0.47717,0.49111,0.16467,0.86785,0.89763,0.93055,0.53679,0.4344,0.48422,0.1814,0.001143,0.001143,0.001143
90,0.4702,0.49259,0.16279,0.88813,0.8741,0.93408,0.54884,0.42285,0.48348,0.17814,0.0011331,0.0011331,0.0011331
91,0.47331,0.48885,0.16319,0.87609,0.8759,0.92248,0.53907,0.42749,0.50118,0.18076,0.0011233,0.0011233,0.0011233
92,0.47066,0.49426,0.16074,0.88351,0.89119,0.93527,0.54541,0.42723,0.48107,0.17832,0.0011134,0.0011134,0.0011134
93,0.47653,0.48529,0.16293,0.86161,0.89299,0.92082,0.53521,0.43376,0.49633,0.18487,0.0011036,0.0011036,0.0011036
94,0.46783,0.48441,0.15761,0.90403,0.87248,0.93546,0.54589,0.43083,0.48472,0.18272,0.0010937,0.0010937,0.0010937
95,0.47373,0.48248,0.16373,0.88619,0.88714,0.93197,0.54449,0.4281,0.48106,0.18143,0.0010839,0.0010839,0.0010839
96,0.46974,0.48223,0.16214,0.89767,0.8835,0.93977,0.55092,0.42175,0.48238,0.17629,0.001074,0.001074,0.001074
97,0.45897,0.47827,0.16037,0.88638,0.8768,0.93069,0.5458,0.42817,0.47804,0.17847,0.0010642,0.0010642,0.0010642
98,0.45532,0.47534,0.15645,0.87873,0.89271,0.93659,0.55848,0.4193,0.4804,0.17523,0.0010543,0.0010543,0.0010543
99,0.4568,0.47387,0.15922,0.89191,0.88939,0.93964,0.56029,0.41464,0.47798,0.173,0.0010445,0.0010445,0.0010445
100,0.46149,0.47203,0.15869,0.89293,0.89658,0.94014,0.56084,0.41432,0.47033,0.17196,0.0010346,0.0010346,0.0010346
101,0.4505,0.47616,0.15267,0.9003,0.89568,0.94159,0.56646,0.41093,0.47318,0.17096,0.0010248,0.0010248,0.0010248
102,0.44311,0.47145,0.15101,0.89138,0.89665,0.94203,0.56733,0.41056,0.47199,0.17213,0.0010149,0.0010149,0.0010149
103,0.4506,0.46771,0.15387,0.89702,0.89074,0.94317,0.56324,0.41109,0.47129,0.17163,0.0010051,0.0010051,0.0010051
104,0.44713,0.46783,0.15348,0.89833,0.88804,0.94814,0.56966,0.40997,0.46818,0.17054,0.00099522,0.00099522,0.00099522
105,0.44657,0.46901,0.15442,0.89393,0.89209,0.9452,0.56614,0.41164,0.47521,0.17002,0.00098537,0.00098537,0.00098537
106,0.45085,0.46846,0.15336,0.90182,0.90039,0.95075,0.57268,0.40639,0.46559,0.16934,0.00097552,0.00097552,0.00097552
107,0.43679,0.45915,0.14759,0.89404,0.90603,0.94976,0.56952,0.41039,0.46397,0.17065,0.00096567,0.00096567,0.00096567
108,0.44815,0.46905,0.15034,0.89327,0.90647,0.94846,0.57197,0.40591,0.47617,0.1671,0.00095582,0.00095582,0.00095582
109,0.43682,0.46715,0.14954,0.90229,0.89685,0.95233,0.5764,0.40399,0.46856,0.16575,0.00094597,0.00094597,0.00094597
110,0.44476,0.46668,0.15254,0.89379,0.89568,0.94698,0.56858,0.40808,0.47771,0.16876,0.00093612,0.00093612,0.00093612
111,0.43445,0.46177,0.14729,0.89879,0.89388,0.94495,0.57569,0.40475,0.46637,0.16612,0.00092627,0.00092627,0.00092627
112,0.43358,0.45629,0.14553,0.89515,0.89254,0.9434,0.57275,0.40871,0.46729,0.169,0.00091642,0.00091642,0.00091642
113,0.43559,0.45662,0.14863,0.90685,0.88864,0.94579,0.57562,0.40241,0.46619,0.16575,0.00090657,0.00090657,0.00090657
114,0.43039,0.4508,0.14677,0.90466,0.89168,0.94622,0.58023,0.40077,0.46957,0.16491,0.00089672,0.00089672,0.00089672
115,0.43548,0.46083,0.15091,0.90469,0.88714,0.94485,0.57575,0.40441,0.46586,0.16618,0.00088687,0.00088687,0.00088687
116,0.43338,0.45487,0.14865,0.89445,0.90307,0.94167,0.57315,0.40573,0.47291,0.16728,0.00087701,0.00087701,0.00087701
117,0.43671,0.46118,0.14656,0.8954,0.89883,0.94343,0.56991,0.40748,0.47008,0.1678,0.00086716,0.00086716,0.00086716
118,0.43056,0.45363,0.14516,0.90215,0.89957,0.94603,0.573,0.40288,0.46946,0.16537,0.00085731,0.00085731,0.00085731
119,0.43007,0.45397,0.14586,0.91457,0.89535,0.95008,0.58228,0.39925,0.46328,0.16369,0.00084746,0.00084746,0.00084746
120,0.42861,0.46046,0.14737,0.90087,0.89613,0.94486,0.57944,0.40067,0.46752,0.16574,0.00083761,0.00083761,0.00083761
121,0.42886,0.4632,0.14646,0.89543,0.89323,0.94401,0.57526,0.40563,0.46579,0.16714,0.00082776,0.00082776,0.00082776
