                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4959,                 0.8123,                 1.4664,                 1.5569,                0.87823,                 1.4729,                0.84493,                0.81094,                0.89625,                0.50823,                 1.4323,                 0.7724,                 1.5145,                 1.4515,                0.74562,                 1.5217,              0.0017833,              0.0017833,              0.0017833
                     25,                 1.4862,                0.79365,                 1.4554,                 1.5391,                 0.8526,                 1.4667,                0.82223,                0.82599,                0.90081,                 0.5148,                 1.4075,                0.76762,                 1.5036,                 1.4448,                0.73896,                 1.5267,              0.0017734,              0.0017734,              0.0017734
                     26,                 1.4822,                0.79679,                 1.4576,                 1.5522,                0.85282,                 1.4729,                0.82633,                 0.8023,                0.88315,                0.50587,                 1.4188,                0.79624,                 1.4885,                 1.4339,                 0.7878,                 1.4854,              0.0017636,              0.0017636,              0.0017636
                     27,                 1.4811,                0.79561,                 1.4645,                 1.5393,                0.84497,                 1.4696,                0.83461,                0.82419,                0.90774,                0.52013,                  1.396,                0.74483,                 1.4975,                 1.4283,                0.72467,                 1.5063,              0.0017537,              0.0017537,              0.0017537
                     28,                 1.4603,                0.77702,                 1.4462,                 1.5187,                0.83153,                 1.4593,                0.81441,                0.83138,                0.89479,                0.52037,                 1.3971,                0.76084,                 1.4919,                 1.4164,                0.74627,                 1.5125,              0.0017439,              0.0017439,              0.0017439
                     29,                 1.4615,                0.77686,                 1.4493,                 1.5158,                0.81213,                 1.4658,                0.76807,                0.77518,                0.84184,                0.45252,                 1.4954,                0.89494,                 1.5778,                 1.5193,                0.91746,                  1.593,               0.001734,               0.001734,               0.001734
                     30,                 1.4584,                0.77222,                 1.4478,                 1.5196,                 0.8034,                 1.4623,                0.85817,                0.82374,                0.91292,                0.52412,                  1.402,                0.72719,                  1.495,                 1.4227,                0.70006,                 1.5045,              0.0017242,              0.0017242,              0.0017242
                     31,                 1.4344,                0.75438,                 1.4321,                 1.4975,                0.78061,                  1.449,                0.84554,                0.82704,                0.89779,                0.51646,                 1.4333,                0.73386,                 1.4998,                 1.4609,                0.71001,                  1.521,              0.0017143,              0.0017143,              0.0017143
                     32,                 1.4254,                0.75995,                 1.4235,                 1.4922,                0.78634,                 1.4477,                0.84613,                0.82599,                0.90525,                 0.5254,                 1.3835,                0.73166,                 1.4712,                 1.4137,                0.70089,                 1.4985,              0.0017045,              0.0017045,              0.0017045
                     33,                 1.4116,                0.74016,                 1.4266,                 1.4767,                0.78016,                 1.4419,                0.84069,                0.86368,                0.92024,                0.53496,                 1.3853,                0.71074,                 1.4813,                 1.4168,                0.67788,                 1.5028,              0.0016946,              0.0016946,              0.0016946
                     34,                 1.4136,                0.73495,                 1.4047,                 1.4769,                0.76045,                 1.4181,                0.85301,                0.84353,                0.91465,                0.53105,                 1.3955,                0.71451,                 1.4838,                 1.4205,                0.70518,                 1.4955,              0.0016848,              0.0016848,              0.0016848
                     35,                 1.3946,                0.72421,                 1.3948,                 1.4573,                0.74628,                 1.4165,                0.86257,                0.83858,                0.91668,                0.53142,                 1.3913,                0.70767,                 1.4788,                 1.4035,                0.68923,                 1.4985,              0.0016749,              0.0016749,              0.0016749
                     36,                 1.3926,                0.71953,                 1.4054,                 1.4506,                0.73842,                 1.4221,                0.84781,                 0.8441,                0.91442,                0.54036,                 1.3676,                0.70564,                 1.4771,                  1.396,                0.67828,                 1.4997,              0.0016651,              0.0016651,              0.0016651
                     37,                 1.3855,                0.71945,                 1.4037,                 1.4485,                0.73819,                  1.425,                0.85981,                0.85297,                0.92228,                0.54395,                   1.36,                 0.6969,                 1.4672,                 1.3868,                0.65546,                 1.4868,              0.0016552,              0.0016552,              0.0016552
                     38,                 1.3831,                0.71141,                 1.3858,                 1.4491,                0.72131,                 1.4108,                0.84967,                0.85432,                0.91837,                 0.5406,                 1.3402,                0.69117,                 1.4518,                 1.3806,                0.65508,                 1.4895,              0.0016454,              0.0016454,              0.0016454
                     39,                 1.3667,                0.70268,                 1.3823,                 1.4242,                0.73099,                 1.4012,                0.85283,                0.87275,                0.92633,                0.55326,                 1.3561,                0.67311,                 1.4563,                 1.3805,                0.63414,                 1.4947,              0.0016355,              0.0016355,              0.0016355
                     40,                 1.3581,                0.69732,                 1.3724,                 1.4242,                0.72292,                 1.3948,                0.85118,                0.85926,                0.92702,                0.55469,                 1.3456,                0.67592,                 1.4457,                 1.3712,                0.64526,                 1.4629,              0.0016257,              0.0016257,              0.0016257
                     41,                 1.3402,                0.68946,                 1.3692,                  1.405,                0.70423,                 1.3848,                0.85779,                0.85207,                 0.9253,                0.56528,                 1.3327,                0.68189,                  1.447,                 1.3512,                0.64474,                 1.4465,              0.0016158,              0.0016158,              0.0016158
                     42,                 1.3511,                 0.6882,                 1.3668,                 1.4167,                0.69278,                  1.383,                0.87577,                0.84128,                0.92624,                0.55251,                 1.3518,                0.66732,                 1.4498,                 1.3861,                0.61594,                 1.4797,               0.001606,               0.001606,               0.001606
                     43,                 1.3558,                0.68709,                 1.3832,                 1.4219,                0.69589,                 1.3996,                0.86933,                0.85027,                0.92846,                 0.5576,                 1.3463,                 0.6619,                 1.4402,                 1.3752,                0.63416,                 1.4525,              0.0015961,              0.0015961,              0.0015961
                     44,                 1.3405,                0.67901,                 1.3626,                 1.4033,                0.68612,                 1.3839,                 0.8558,                0.88332,                0.93726,                0.56916,                 1.3077,                0.64283,                 1.4233,                 1.3389,                0.59965,                 1.4454,              0.0015863,              0.0015863,              0.0015863
                     45,                 1.3218,                0.67278,                 1.3539,                 1.3831,                 0.6756,                 1.3676,                0.85796,                0.86642,                0.93746,                0.56702,                 1.3294,                0.64844,                 1.4374,                 1.3627,                 0.6026,                 1.4479,              0.0015764,              0.0015764,              0.0015764
                     46,                 1.3222,                0.67305,                 1.3467,                 1.3855,                0.66954,                 1.3623,                0.88375,                0.86241,                0.94019,                0.57407,                 1.3138,                0.63609,                  1.418,                 1.3495,                0.58127,                 1.4409,              0.0015666,              0.0015666,              0.0015666
                     47,                 1.3041,                0.65219,                 1.3351,                 1.3653,                 0.6483,                  1.355,                 0.8977,                0.84802,                0.93878,                0.57416,                 1.2914,                0.62758,                 1.4046,                 1.3236,                0.57884,                 1.4287,              0.0015567,              0.0015567,              0.0015567
                     48,                 1.2864,                0.65186,                 1.3356,                 1.3504,                0.66089,                 1.3582,                0.88131,                0.86805,                0.94168,                0.58099,                 1.2952,                0.63474,                 1.4083,                 1.3275,                0.57601,                 1.4327,              0.0015469,              0.0015469,              0.0015469
                     49,                 1.3014,                0.65686,                 1.3444,                 1.3727,                0.65168,                 1.3725,                0.87388,                0.88793,                0.94484,                0.57994,                 1.2998,                0.62088,                 1.4033,                 1.3313,                0.56759,                 1.4296,               0.001537,               0.001537,               0.001537
                     50,                 1.2811,                0.63756,                 1.3238,                 1.3499,                0.63817,                 1.3449,                0.86822,                0.87686,                 0.9403,                0.57572,                  1.291,                 0.6245,                 1.4107,                 1.3152,                0.59588,                 1.4236,              0.0015272,              0.0015272,              0.0015272
                     51,                 1.2706,                0.63089,                 1.3141,                  1.334,                0.63724,                 1.3367,                0.89575,                0.86157,                0.94295,                0.58141,                 1.2908,                0.61318,                 1.4001,                 1.3243,                0.56348,                  1.432,              0.0015173,              0.0015173,              0.0015173
                     52,                 1.2541,                0.62483,                   1.31,                 1.3226,                0.62634,                 1.3354,                0.86708,                0.88714,                0.94212,                0.57731,                 1.3027,                 0.6314,                 1.3988,                 1.3332,                0.58057,                 1.4222,              0.0015075,              0.0015075,              0.0015075
                     53,                 1.2491,                0.62329,                 1.3048,                 1.3148,                0.61802,                 1.3314,                0.85971,                0.88714,                 0.9408,                0.57766,                 1.3019,                0.61539,                 1.4033,                 1.3323,                0.57071,                 1.4338,              0.0014976,              0.0014976,              0.0014976
                     54,                 1.2413,                0.60942,                 1.2974,                 1.3063,                0.60735,                 1.3242,                0.90103,                0.86783,                0.94643,                0.58425,                   1.27,                0.60991,                 1.3934,                 1.2944,                0.56694,                 1.4206,              0.0014878,              0.0014878,              0.0014878
                     55,                 1.2544,                0.62613,                 1.3058,                 1.3218,                0.62332,                 1.3371,                0.88477,                0.89254,                0.94908,                0.58935,                 1.2869,                0.59991,                 1.3962,                 1.3171,                0.52788,                 1.4345,              0.0014779,              0.0014779,              0.0014779
                     56,                 1.2497,                0.61865,                 1.2952,                 1.3135,                0.60861,                 1.3219,                0.89122,                0.89152,                0.95094,                0.58868,                 1.2862,                0.60802,                 1.4009,                 1.3222,                0.53863,                 1.4302,              0.0014681,              0.0014681,              0.0014681
                     57,                 1.2172,                0.60368,                 1.2824,                 1.2802,                0.59928,                 1.3028,                0.87177,                0.89793,                0.94673,                0.60069,                 1.2484,                0.59356,                 1.3752,                 1.2854,                0.54489,                 1.4011,              0.0014582,              0.0014582,              0.0014582
                     58,                 1.2074,                0.59368,                 1.2832,                 1.2758,                0.58068,                 1.3117,                0.86032,                0.87517,                0.93286,                0.57412,                 1.3005,                0.62247,                 1.4045,                 1.3301,                0.58606,                 1.4304,              0.0014484,              0.0014484,              0.0014484
                     59,                 1.2144,                0.60547,                 1.2757,                 1.2808,                0.59541,                 1.3009,                0.86921,                0.88624,                0.93904,                0.58931,                 1.2448,                0.60832,                 1.3722,                 1.2831,                0.56119,                 1.4015,              0.0014385,              0.0014385,              0.0014385
                     60,                 1.1986,                 0.5935,                 1.2683,                 1.2618,                0.58619,                 1.2935,                0.89887,                 0.8872,                0.94362,                0.60024,                 1.2454,                0.59612,                 1.3733,                 1.2796,                0.54806,                 1.3966,              0.0014287,              0.0014287,              0.0014287
                     61,                 1.2023,                0.59502,                 1.2742,                 1.2646,                0.58642,                 1.2947,                0.88695,                0.88669,                0.94639,                0.60312,                 1.2455,                0.59048,                 1.3695,                 1.2699,                0.54854,                 1.3878,              0.0014188,              0.0014188,              0.0014188
