                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
31,1.4928,0.80053,1.4739,1.5408,0.85553,1.4754,0.79589,0.79598,0.86753,0.48662,1.4548,0.82542,1.545,1.4799,0.83572,1.531,0.0017143,0.0017143,0.0017143
32,1.4874,0.80579,1.4678,1.5432,0.86398,1.4724,0.8255,0.8083,0.88237,0.50342,1.4528,0.78668,1.5304,1.4728,0.78473,1.5366,0.0017045,0.0017045,0.0017045
33,1.4779,0.79398,1.4668,1.5342,0.85674,1.4702,0.84592,0.78993,0.88358,0.49876,1.4701,0.79661,1.5452,1.4913,0.77585,1.5335,0.0016946,0.0016946,0.0016946
34,1.4713,0.78197,1.4453,1.5221,0.83565,1.4419,0.81707,0.83318,0.8991,0.52013,1.3814,0.77095,1.4962,1.4103,0.75415,1.4953,0.0016848,0.0016848,0.0016848
35,1.4619,0.77734,1.4462,1.5215,0.81895,1.4511,0.84098,0.81803,0.90021,0.51731,1.4217,0.7643,1.512,1.4497,0.74472,1.4983,0.0016749,0.0016749,0.0016749
36,1.4606,0.772,1.4521,1.5132,0.81936,1.4484,0.83421,0.80576,0.89153,0.51602,1.4164,0.7827,1.5097,1.4334,0.75878,1.4856,0.0016651,0.0016651,0.0016651
37,1.4536,0.77452,1.4501,1.5151,0.81951,1.4543,0.85681,0.82104,0.9064,0.52084,1.4016,0.76047,1.4953,1.4213,0.72719,1.4955,0.0016552,0.0016552,0.0016552
38,1.4461,0.76252,1.4308,1.507,0.80359,1.4361,0.86501,0.83813,0.92033,0.53851,1.3589,0.71065,1.4782,1.3869,0.66563,1.48,0.0016454,0.0016454,0.0016454
39,1.4381,0.74915,1.4321,1.4943,0.79301,1.4333,0.83303,0.84397,0.91216,0.53412,1.3616,0.72178,1.4862,1.3967,0.70122,1.4912,0.0016355,0.0016355,0.0016355
40,1.4336,0.75258,1.4243,1.4979,0.78976,1.4378,0.8445,0.85522,0.92335,0.54595,1.3517,0.70677,1.4583,1.3991,0.66665,1.4818,0.0016257,0.0016257,0.0016257
41,1.4267,0.75392,1.4225,1.4785,0.79357,1.4291,0.8267,0.84667,0.91068,0.53035,1.3883,0.73604,1.4935,1.4219,0.70636,1.5099,0.0016158,0.0016158,0.0016158
42,1.4232,0.74592,1.4175,1.4808,0.77661,1.4243,0.84641,0.85387,0.91875,0.54555,1.3672,0.69907,1.472,1.3997,0.6568,1.4816,0.001606,0.001606,0.001606
43,1.4289,0.74417,1.4304,1.4887,0.77659,1.4391,0.85849,0.84564,0.91579,0.54069,1.3832,0.71473,1.4684,1.4144,0.6631,1.4749,0.0015961,0.0015961,0.0015961
44,1.409,0.74092,1.4052,1.4692,0.77429,1.4155,0.84004,0.83094,0.91104,0.53441,1.383,0.73595,1.4684,1.4297,0.70063,1.4855,0.0015863,0.0015863,0.0015863
45,1.4047,0.73928,1.4043,1.4646,0.76952,1.4166,0.88142,0.83554,0.92542,0.55089,1.3475,0.68245,1.4486,1.3904,0.64449,1.466,0.0015764,0.0015764,0.0015764
46,1.4005,0.7243,1.3966,1.4679,0.72843,1.4115,0.87098,0.85567,0.92996,0.55994,1.3376,0.69215,1.4547,1.3861,0.62743,1.4694,0.0015666,0.0015666,0.0015666
47,1.3894,0.71475,1.3948,1.4479,0.73008,1.4042,0.88433,0.84906,0.93442,0.5557,1.3276,0.67881,1.4473,1.3718,0.61907,1.4606,0.0015567,0.0015567,0.0015567
48,1.3765,0.71669,1.4,1.435,0.7418,1.4081,0.87205,0.83972,0.92526,0.55651,1.3424,0.70604,1.4577,1.3832,0.64925,1.468,0.0015469,0.0015469,0.0015469
49,1.3792,0.71605,1.4039,1.4356,0.73308,1.4083,0.8657,0.87244,0.93717,0.56778,1.3197,0.65519,1.437,1.3659,0.58665,1.4392,0.001537,0.001537,0.001537
50,1.3651,0.70363,1.3799,1.4282,0.7174,1.3885,0.85607,0.86196,0.9289,0.56257,1.3023,0.68533,1.4236,1.344,0.64542,1.4303,0.0015272,0.0015272,0.0015272
51,1.3648,0.70287,1.3766,1.4271,0.72301,1.3869,0.87632,0.86826,0.9351,0.56283,1.3261,0.6632,1.4353,1.3654,0.61505,1.4418,0.0015173,0.0015173,0.0015173
52,1.3565,0.69439,1.3797,1.4234,0.69808,1.3917,0.86773,0.86429,0.93242,0.56717,1.3291,0.66965,1.4328,1.36,0.59846,1.4412,0.0015075,0.0015075,0.0015075
53,1.3417,0.6935,1.3717,1.4066,0.69974,1.3889,0.88261,0.85971,0.93835,0.5721,1.2966,0.65402,1.4202,1.3409,0.58646,1.4434,0.0014976,0.0014976,0.0014976
54,1.3429,0.6805,1.3638,1.4072,0.68128,1.3797,0.85845,0.87005,0.93286,0.56528,1.3146,0.66089,1.4251,1.3617,0.60733,1.452,0.0014878,0.0014878,0.0014878
55,1.349,0.69495,1.3741,1.4152,0.70246,1.3887,0.87357,0.85746,0.93146,0.56771,1.3003,0.65955,1.4207,1.3502,0.60634,1.4469,0.0014779,0.0014779,0.0014779
56,1.3379,0.67614,1.36,1.4014,0.68352,1.3778,0.86457,0.86016,0.92863,0.57539,1.2937,0.65311,1.4229,1.3312,0.60207,1.4366,0.0014681,0.0014681,0.0014681
57,1.31,0.67149,1.3544,1.3675,0.67458,1.3684,0.87757,0.85162,0.93595,0.57657,1.2868,0.64221,1.418,1.325,0.60114,1.4261,0.0014582,0.0014582,0.0014582
58,1.3163,0.67055,1.3544,1.3806,0.66577,1.3707,0.87484,0.87059,0.93465,0.57016,1.3042,0.64422,1.4255,1.3545,0.59268,1.4487,0.0014484,0.0014484,0.0014484
59,1.3158,0.67392,1.3472,1.3825,0.66468,1.3618,0.86576,0.8804,0.94119,0.58086,1.2692,0.6435,1.4072,1.3081,0.57704,1.42,0.0014385,0.0014385,0.0014385
60,1.3047,0.66367,1.3437,1.3659,0.66783,1.3617,0.86957,0.88174,0.93835,0.58285,1.291,0.64125,1.4166,1.3164,0.59364,1.4287,0.0014287,0.0014287,0.0014287
61,1.3038,0.66851,1.3497,1.3635,0.67411,1.3609,0.88709,0.87365,0.93683,0.59195,1.2668,0.63075,1.4034,1.2995,0.56562,1.4122,0.0014188,0.0014188,0.0014188
62,1.2947,0.66605,1.3348,1.3534,0.67466,1.3468,0.87208,0.8798,0.93726,0.58094,1.2825,0.63027,1.4021,1.328,0.58249,1.4145,0.001409,0.001409,0.001409
63,1.2934,0.65601,1.3314,1.3539,0.65761,1.3421,0.86906,0.89568,0.94405,0.591,1.26,0.62698,1.3871,1.2967,0.56038,1.3971,0.0013991,0.0013991,0.0013991
64,1.2816,0.64186,1.3215,1.3487,0.63965,1.3347,0.87426,0.87725,0.94021,0.58369,1.2684,0.62991,1.393,1.3082,0.56537,1.4084,0.0013893,0.0013893,0.0013893
65,1.2796,0.64149,1.3113,1.3486,0.62745,1.3279,0.86934,0.89029,0.94498,0.59401,1.2604,0.61274,1.3868,1.3021,0.54852,1.406,0.0013794,0.0013794,0.0013794
66,1.2698,0.64132,1.3173,1.3361,0.63858,1.3306,0.89763,0.87185,0.9453,0.58961,1.2813,0.62307,1.4068,1.3215,0.5616,1.4229,0.0013696,0.0013696,0.0013696
67,1.2667,0.63571,1.3149,1.3291,0.6306,1.3313,0.86756,0.88444,0.94143,0.58797,1.2798,0.62385,1.3964,1.3193,0.5662,1.4213,0.0013597,0.0013597,0.0013597
68,1.26,0.63585,1.3008,1.326,0.62619,1.3178,0.91181,0.85072,0.94884,0.59174,1.2699,0.61343,1.4024,1.3169,0.53506,1.4298,0.0013499,0.0013499,0.0013499
69,1.2523,0.6264,1.3038,1.3088,0.60579,1.317,0.89288,0.86951,0.94779,0.59231,1.2546,0.60577,1.3893,1.2998,0.55504,1.4104,0.00134,0.00134,0.00134
70,1.2438,0.62349,1.2949,1.3074,0.61365,1.3083,0.90327,0.88175,0.95201,0.60081,1.2435,0.59508,1.3756,1.2935,0.5336,1.3949,0.0013301,0.0013301,0.0013301
71,1.2452,0.6221,1.3049,1.3089,0.61418,1.3195,0.88364,0.89973,0.95434,0.60674,1.2424,0.59197,1.3756,1.2861,0.52208,1.3962,0.0013203,0.0013203,0.0013203
72,1.2418,0.62227,1.3077,1.3032,0.60857,1.3245,0.90679,0.86556,0.94673,0.59889,1.2463,0.60115,1.3864,1.2872,0.52996,1.4081,0.0013104,0.0013104,0.0013104
73,1.2388,0.61725,1.2977,1.3072,0.60363,1.3146,0.88395,0.88363,0.94687,0.59563,1.2611,0.60015,1.3961,1.3087,0.53176,1.4137,0.0013006,0.0013006,0.0013006
74,1.2363,0.61036,1.2962,1.2999,0.60115,1.3123,0.89633,0.88129,0.95052,0.60656,1.24,0.58624,1.3725,1.2839,0.52877,1.3925,0.0012907,0.0012907,0.0012907
75,1.2563,0.62018,1.3122,1.3175,0.60587,1.3321,0.90316,0.88482,0.94954,0.60051,1.2437,0.58766,1.3776,1.2949,0.52708,1.4162,0.0012809,0.0012809,0.0012809
76,1.2212,0.60794,1.2792,1.291,0.59955,1.3039,0.88709,0.89019,0.95388,0.60519,1.2447,0.58606,1.3739,1.2776,0.52951,1.3908,0.001271,0.001271,0.001271
77,1.2108,0.60182,1.2779,1.2763,0.59559,1.2941,0.91978,0.85971,0.95247,0.61205,1.2145,0.57679,1.3591,1.2565,0.51826,1.3746,0.0012612,0.0012612,0.0012612
78,1.2172,0.60127,1.2821,1.2826,0.59356,1.2993,0.90283,0.88984,0.95388,0.61411,1.219,0.58306,1.3531,1.2581,0.51627,1.3708,0.0012513,0.0012513,0.0012513
79,1.1936,0.58739,1.2655,1.2602,0.57488,1.2866,0.90894,0.8777,0.95375,0.61344,1.2231,0.58002,1.3532,1.2644,0.51571,1.3744,0.0012415,0.0012415,0.0012415
80,1.2134,0.5951,1.2751,1.2782,0.57284,1.2974,0.89732,0.90374,0.95191,0.60992,1.2331,0.57546,1.356,1.2613,0.5222,1.3711,0.0012316,0.0012316,0.0012316
81,1.2029,0.58949,1.2663,1.2692,0.56751,1.288,0.89897,0.89703,0.9555,0.61629,1.2225,0.57555,1.36,1.2593,0.50586,1.3877,0.0012218,0.0012218,0.0012218
82,1.2135,0.59906,1.2718,1.2789,0.59114,1.2894,0.90388,0.87905,0.9497,0.61137,1.2227,0.5793,1.3588,1.2637,0.51682,1.3766,0.0012119,0.0012119,0.0012119
83,1.1985,0.58968,1.2643,1.2616,0.57495,1.2872,0.91297,0.88669,0.95264,0.61407,1.2162,0.56541,1.357,1.2617,0.50938,1.3795,0.0012021,0.0012021,0.0012021
84,1.1832,0.58613,1.2529,1.251,0.56889,1.2747,0.90211,0.89388,0.95531,0.61307,1.2189,0.56754,1.35,1.2626,0.50418,1.3747,0.0011922,0.0011922,0.0011922
85,1.1781,0.5857,1.2546,1.238,0.56781,1.2733,0.90139,0.8796,0.95348,0.6163,1.2142,0.56338,1.3476,1.2492,0.50551,1.3623,0.0011824,0.0011824,0.0011824
86,1.1692,0.57152,1.2534,1.2315,0.54352,1.2736,0.91239,0.89444,0.95452,0.62038,1.2054,0.56218,1.3449,1.2414,0.50565,1.3625,0.0011725,0.0011725,0.0011725
87,1.1712,0.57743,1.2543,1.2337,0.55977,1.2733,0.90546,0.90423,0.95637,0.62611,1.1985,0.55267,1.3345,1.2343,0.4846,1.3477,0.0011627,0.0011627,0.0011627
88,1.1699,0.58,1.2503,1.2321,0.56556,1.2674,0.89413,0.90381,0.95218,0.61893,1.195,0.5521,1.3326,1.2313,0.50015,1.3501,0.0011528,0.0011528,0.0011528
89,1.1498,0.56301,1.2397,1.2069,0.54694,1.255,0.92237,0.88129,0.95582,0.62504,1.1976,0.55926,1.3395,1.2315,0.50169,1.3533,0.001143,0.001143,0.001143
90,1.1508,0.56921,1.2372,1.2166,0.55186,1.2511,0.89286,0.90679,0.95498,0.61873,1.2063,0.55738,1.3501,1.2456,0.49839,1.3627,0.0011331,0.0011331,0.0011331
91,1.1493,0.56399,1.2429,1.2106,0.554,1.2579,0.9087,0.89164,0.958,0.62948,1.1814,0.55116,1.3326,1.2168,0.48889,1.3465,0.0011233,0.0011233,0.0011233
92,1.1517,0.56034,1.2302,1.2126,0.54078,1.2469,0.91304,0.88279,0.95445,0.62058,1.1891,0.55576,1.3348,1.2175,0.50714,1.3487,0.0011134,0.0011134,0.0011134
93,1.1574,0.56532,1.244,1.219,0.54922,1.2602,0.91363,0.89164,0.95653,0.6269,1.1856,0.54991,1.3407,1.2158,0.49532,1.3528,0.0011036,0.0011036,0.0011036
94,1.1281,0.55107,1.2306,1.1898,0.52653,1.2489,0.90987,0.89425,0.95925,0.62839,1.1839,0.55016,1.3377,1.2246,0.48739,1.3578,0.0010937,0.0010937,0.0010937
95,1.1344,0.55545,1.2318,1.1986,0.53096,1.2486,0.91128,0.89209,0.95877,0.62489,1.177,0.5389,1.3277,1.2182,0.47594,1.3451,0.0010839,0.0010839,0.0010839
96,1.1226,0.54478,1.2173,1.1882,0.51682,1.2327,0.90747,0.90843,0.96012,0.62872,1.1769,0.53317,1.3268,1.2137,0.46844,1.3434,0.001074,0.001074,0.001074
97,1.1183,0.55469,1.221,1.1809,0.52807,1.2336,0.90076,0.91052,0.96,0.62933,1.1831,0.54442,1.3302,1.2172,0.48492,1.3355,0.0010642,0.0010642,0.0010642
98,1.1286,0.54901,1.2191,1.1895,0.53359,1.2274,0.91332,0.90491,0.9584,0.6302,1.1796,0.53525,1.3341,1.2127,0.48001,1.3387,0.0010543,0.0010543,0.0010543
99,1.1184,0.54394,1.2162,1.1799,0.51698,1.2286,0.91628,0.89076,0.95852,0.63472,1.1674,0.52919,1.3231,1.2026,0.48127,1.329,0.0010445,0.0010445,0.0010445
100,1.1091,0.54142,1.2211,1.1669,0.51782,1.2319,0.90721,0.89245,0.95445,0.63326,1.1768,0.53799,1.3308,1.2037,0.48672,1.3339,0.0010346,0.0010346,0.0010346
101,1.0871,0.52869,1.2032,1.1469,0.51091,1.2138,0.90751,0.90887,0.95957,0.63821,1.1689,0.52495,1.3211,1.1975,0.47381,1.3261,0.0010248,0.0010248,0.0010248
102,1.0951,0.53732,1.2054,1.1564,0.51188,1.216,0.93298,0.87815,0.95817,0.63399,1.1683,0.53345,1.3267,1.2103,0.46752,1.3372,0.0010149,0.0010149,0.0010149
103,1.081,0.52941,1.2011,1.145,0.50479,1.2146,0.91155,0.90378,0.96217,0.63844,1.1652,0.52415,1.321,1.195,0.46928,1.329,0.0010051,0.0010051,0.0010051
104,1.0891,0.52798,1.1918,1.1517,0.49773,1.2083,0.90734,0.91052,0.95979,0.63917,1.1616,0.52668,1.3138,1.189,0.4738,1.3221,0.00099522,0.00099522,0.00099522
105,1.0876,0.52538,1.1932,1.15,0.48564,1.2111,0.91208,0.90468,0.96016,0.63615,1.1727,0.52704,1.315,1.2131,0.46668,1.3361,0.00098537,0.00098537,0.00098537
106,1.1004,0.53144,1.203,1.1594,0.50106,1.2223,0.91015,0.91367,0.95823,0.6351,1.1675,0.53427,1.3219,1.2122,0.47346,1.3434,0.00097552,0.00097552,0.00097552
107,1.0698,0.52267,1.1811,1.1368,0.49756,1.1997,0.92226,0.88939,0.96137,0.64048,1.1561,0.52283,1.3173,1.1935,0.4729,1.3309,0.00096567,0.00096567,0.00096567
108,1.0823,0.52328,1.1911,1.1436,0.49371,1.2046,0.9254,0.90364,0.96329,0.64223,1.161,0.51826,1.3139,1.192,0.46862,1.3238,0.00095582,0.00095582,0.00095582
109,1.0817,0.52743,1.1952,1.1437,0.50202,1.2077,0.90679,0.90872,0.95977,0.64275,1.1537,0.52316,1.3094,1.1891,0.47124,1.32,0.00094597,0.00094597,0.00094597
110,1.0816,0.52115,1.1855,1.1443,0.49545,1.1992,0.91544,0.91025,0.96282,0.64464,1.1546,0.51602,1.3157,1.1861,0.47026,1.3226,0.00093612,0.00093612,0.00093612
111,1.0482,0.5107,1.1637,1.1112,0.48557,1.1755,0.91036,0.90378,0.96314,0.64604,1.1416,0.5141,1.303,1.1762,0.46461,1.3142,0.00092627,0.00092627,0.00092627
112,1.0555,0.51545,1.1717,1.1185,0.4905,1.183,0.9065,0.91107,0.96318,0.64476,1.1458,0.50908,1.3117,1.1745,0.46762,1.3147,0.00091642,0.00091642,0.00091642
113,1.0561,0.51718,1.1775,1.1212,0.48723,1.1893,0.9246,0.88984,0.96285,0.64607,1.1466,0.52047,1.3093,1.1763,0.45179,1.317,0.00090657,0.00090657,0.00090657
114,1.0569,0.5099,1.1704,1.118,0.47567,1.1864,0.92758,0.90108,0.96203,0.64477,1.1537,0.51713,1.3146,1.1888,0.46498,1.3269,0.00089672,0.00089672,0.00089672
115,1.0483,0.50954,1.1804,1.1062,0.48577,1.1967,0.92492,0.90423,0.9656,0.6473,1.1491,0.51562,1.3081,1.1816,0.45925,1.3191,0.00088687,0.00088687,0.00088687
116,1.0541,0.50947,1.1749,1.1149,0.48149,1.19,0.92306,0.90558,0.96555,0.64841,1.1411,0.5093,1.3096,1.1687,0.45523,1.3149,0.00087701,0.00087701,0.00087701
